0:(0,0);(0,0);(0,0);(0,0)
20:(0.000459665,-0.000652504),(0.000771663,7.39002e-05),(0.00030095,0.000728672),(-0.000526632,0.000588055).
21:(0.000448386,-0.000658221),(0.00072861,0.000102548),(0.000293573,0.000815287),(-0.000513488,0.000601755).
22:(0.000499385,-0.000623679),(0.000811933,0.000103237),(0.000372203,0.000785363),(-0.000529585,0.000614087).
23:(0.000460915,-0.000616973),(0.000761458,0.000111045),(0.000340186,0.000819775),(-0.000500514,0.000627709).
24:(0.000474293,-0.000609633),(0.000750127,0.000119092),(0.000273326,0.00069288),(-0.000458144,0.000590528).
25:(0.00044663,-0.000708812),(0.0007234,6.38689e-05),(0.000262085,0.000785115),(-0.000533915,0.000552336).
26:(0.0004806,-0.000583409),(0.000776686,0.000116117),(0.000279676,0.000732529),(-0.000479606,0.000609183).
27:(0.000507357,-0.000627407),(0.000734074,0.000106687),(0.000278501,0.000786787),(-0.000506526,0.000580471).
28:(0.000429442,-0.000632631),(0.000754578,0.000109018),(0.000288504,0.000730332),(-0.000519068,0.000586048).
29:(0.000409622,-0.000654563),(0.000757804,9.6725e-05),(0.000271798,0.000805842),(-0.000547797,0.000579935).
30:(0.000511535,-0.000664682),(0.000771389,0.000120598),(0.000303332,0.000733304),(-0.000518114,0.000581481).
31:(0.000477714,-0.000646921),(0.000841126,0.000105128),(0.000256804,0.000759095),(-0.000502309,0.000628341).
32:(0,0),(0,0),(0,0),(0,0).
33:(0.000486717,-0.000673493),(0.000775668,0.000139632),(0.000296956,0.000781647),(-0.000553168,0.000647433).
34:(0.000421241,-0.000642101),(0.000749198,0.000114525),(0.00033991,0.000759651),(-0.000473733,0.000615981).
35:(0.000464368,-0.000603202),(0.000746096,8.0884e-05),(0.000278658,0.000735492),(-0.00053166,0.000597818).
36:(0.000459485,-0.00065854),(0.000804141,0.000125057),(0.000239602,0.000766875),(-0.000485409,0.000574071).
37:(0.000470636,-0.000637248),(0.000754284,0.000131402),(0.00030553,0.000748804),(-0.00055012,0.000616859).
38:(0.000421382,-0.000675378),(0.000753812,0.000100446),(0.000268595,0.000734932),(-0.000585793,0.000647099).
39:(0.00051415,-0.000610569),(0.000761595,9.04295e-05),(0.00027868,0.000755941),(-0.000500252,0.000639518).
40:(0.000450163,-0.000625818),(0.000743845,0.000108868),(0.000329875,0.000703917),(-0.000527061,0.000585559).
41:(0.000413295,-0.000608571),(0.000777908,0.00011571),(0.000323738,0.000750249),(-0.000544566,0.000606754).
42:(0.000440353,-0.000623998),(0.000753898,0.000117611),(0.000262926,0.000768764),(-0.000490927,0.000612809).
43:(0.000451817,-0.000700436),(0.000780648,9.54146e-05),(0.000308922,0.000731147),(-0.000514291,0.000586515).
44:(0.000426832,-0.000623018),(0.000753388,7.11796e-05),(0.000284249,0.000745946),(-0.000474564,0.00061123).
45:(0.000441614,-0.000635158),(0.000792808,0.000134811),(0.000317454,0.000732108),(-0.000513762,0.000621895).
46:(0.000441945,-0.000655218),(0.000752263,0.000139333),(0.00033599,0.000762337),(-0.000527237,0.000583788).
47:(0.000463768,-0.000610448),(0.000786066,5.90905e-05),(0.000321171,0.000801878),(-0.000532054,0.000625019).
48:(0.000446737,-0.000695066),(0.000780193,0.000118102),(0.000339779,0.00077683),(-0.000541024,0.000598624).
49:(0.00040891,-0.000649652),(0.000766978,4.30038e-05),(0.000334277,0.000722639),(-0.000519567,0.000632381).
50:(0.000421027,-0.000683383),(0.000782644,5.98736e-05),(0.000273392,0.000774761),(-0.000494849,0.000588494).
51:(0.000423037,-0.000672978),(0.000806345,9.87202e-05),(0.000271438,0.000785821),(-0.00053946,0.000613319).
52:(0.000435368,-0.000690191),(0.000791741,8.38748e-05),(0.000290516,0.000746338),(-0.000528606,0.000594668).
53:(0.000498575,-0.000642075),(0.000760396,0.000106679),(0.00031977,0.000753371),(-0.000488363,0.000609035).
54:(0.00043566,-0.000653574),(0.000774359,8.44614e-05),(0.000286182,0.000707146),(-0.000494153,0.000586743).
55:(0.000432788,-0.000639479),(0.000793085,0.000122754),(0.00031172,0.000729713),(-0.000501402,0.000577981).
56:(0.000437983,-0.000659149),(0.000832614,0.000106157),(0.000381474,0.000755833),(-0.000537663,0.000625645).
57:(0.000498142,-0.000664651),(0.000769316,0.000116192),(0.00029967,0.000790804),(-0.000499235,0.000644462).
58:(0.000457051,-0.000652341),(0.00080052,0.000135337),(0.000302659,0.000726918),(-0.000503986,0.000603185).
59:(0.000413748,-0.000620379),(0.000760197,5.10841e-05),(0.00027932,0.000710727),(-0.000504016,0.000609875).
60:(0.000482021,-0.000623422),(0.000730784,9.77586e-05),(0.000270149,0.000726473),(-0.000535297,0.000524151).
61:(0,0),(0,0),(0,0),(0,0).
62:(0,0),(0,0),(0,0),(0,0).
63:(0,0),(0,0),(0,0),(0,0).
