25:(0.00156825,9.61869e-05);(-0.00158097,-0.000345124);(0.0014061,0.000724565);(-0.00126167,-0.00100608)
26:(0.00161379,5.3423e-05);(-0.00153627,-0.000338445);(0.00144559,0.000780631);(-0.00120023,-0.00101705)
27:(0.00155579,0.000102631);(-0.00150699,-0.000399466);(0.00139905,0.000729492);(-0.00125609,-0.00103651)
28:(0.00154543,6.53475e-05);(-0.00150819,-0.000364457);(0.00138157,0.000711104);(-0.0012419,-0.00101234)
29:(0.00158484,7.35139e-05);(-0.0015575,-0.000365499);(0.00146918,0.000741713);(-0.00121125,-0.0010337)
30:(0.00157338,3.80922e-05);(-0.00150811,-0.00039659);(0.00140119,0.000704726);(-0.00121084,-0.00100595)
31:(0.00158461,3.36473e-05);(-0.00155811,-0.000383963);(0.00144386,0.000687929);(-0.00124235,-0.00106049)
32:(0,0);(0,0);(0,0);(0,0)
33:(0.00155988,3.38352e-05);(-0.00155933,-0.000385465);(0.00138503,0.000772911);(-0.00121226,-0.00103715)
34:(0.00154957,4.42395e-05);(-0.00159126,-0.000426537);(0.0013915,0.000705017);(-0.00119743,-0.00102491)
35:(0.00158218,2.76728e-05);(-0.00153783,-0.000365303);(0.00137541,0.000672491);(-0.00120271,-0.00109338)
36:(0.00158428,8.30685e-05);(-0.00156864,-0.000349763);(0.00140696,0.000719824);(-0.00121168,-0.00104325)
37:(0.00157399,6.88095e-05);(-0.00156968,-0.000385611);(0.00141204,0.000680464);(-0.00121626,-0.00106626)
38:(0.00157814,6.36268e-05);(-0.00156722,-0.000372125);(0.00145938,0.000707045);(-0.00118751,-0.00105255)
39:(0.00155662,6.29317e-05);(-0.00152538,-0.000383238);(0.00141523,0.000757273);(-0.00120847,-0.0011021)
40:(0.00160165,0.000108431);(-0.00155131,-0.0003654);(0.00142532,0.000678329);(-0.00120616,-0.00105619)
41:(0.00161432,8.04772e-05);(-0.00157715,-0.000431273);(0.00142678,0.000747627);(-0.00120583,-0.00108862)
42:(0.00154823,9.26972e-05);(-0.00156,-0.00034323);(0.00143701,0.000672317);(-0.0011785,-0.00106221)
43:(0.00154916,6.27751e-05);(-0.00158582,-0.000361723);(0.0014251,0.000702377);(-0.00124703,-0.00104391)
44:(0.00157202,9.77256e-05);(-0.00158236,-0.000422783);(0.00143765,0.000705539);(-0.00122163,-0.00104078)
45:(0.00154582,6.41004e-05);(-0.00155152,-0.000371396);(0.00141464,0.000750491);(-0.00120181,-0.00101751)
46:(0.00159582,5.97664e-05);(-0.00152983,-0.000359596);(0.00138143,0.000780149);(-0.00122982,-0.00107194)
47:(0.00155338,0.000123303);(-0.00155726,-0.000319305);(0.00137029,0.000715391);(-0.00121329,-0.0010603)
48:(0.00154816,2.59398e-05);(-0.0016138,-0.000393429);(0.00141991,0.000720818);(-0.00123815,-0.00106902)
49:(0.00149701,5.17447e-05);(-0.00154572,-0.000396011);(0.00141504,0.000767742);(-0.00121553,-0.00103949)
50:(0.00158522,4.91171e-05);(-0.00155973,-0.000355704);(0.00136721,0.000751273);(-0.0011908,-0.00108737)
51:(0.00157115,4.76355e-05);(-0.0015161,-0.000351886);(0.001392,0.000685339);(-0.00118831,-0.00104036)
52:(0.00155159,5.95226e-06);(-0.00153049,-0.000297079);(0.0014091,0.000689449);(-0.0011415,-0.00099432)
