(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:10:11.775, 	1, 	2, 	22.1496, 	25.6854, 	1, 	-1.38778e-15, 	3.04, 	(-0.490652,-0.44186);
18:10:11.796, 	1, 	2, 	22.5771, 	26.0653, 	1, 	-1.38778e-15, 	3.04, 	(-0.621107,0.0337672);
18:10:11.816, 	1, 	2, 	22.2432, 	25.36, 	1, 	-1.38778e-15, 	3.04, 	(0.711393,-0.223189);
18:10:11.836, 	1, 	2, 	22.93, 	25.2371, 	1, 	-1.38778e-15, 	3.04, 	(4.31495e-05,0.731768);
18:10:11.856, 	1, 	2, 	22.64, 	25.959, 	1, 	-1.38778e-15, 	3.04, 	(0.277437,0.653689);
18:10:11.876, 	1, 	2, 	21.42, 	24.2708, 	1, 	-1.38778e-15, 	3.04, 	(0.748017,0.131822);
18:10:11.896, 	1, 	2, 	21.9673, 	25.9979, 	1, 	-1.38778e-15, 	3.04, 	(-0.59784,-0.484953);
18:10:11.916, 	1, 	2, 	22.0681, 	25.7928, 	1, 	-1.38778e-15, 	3.04, 	(0.656931,0.371843);
18:10:11.939, 	1, 	2, 	19.5031, 	22.4688, 	1, 	-1.38778e-15, 	3.04, 	(-0.239528,-0.670964);
18:10:11.957, 	1, 	2, 	24.4868, 	25.008, 	1, 	-1.38778e-15, 	3.04, 	(-0.675894,-0.0765689);
18:10:11.977, 	1, 	2, 	22.7674, 	25.2573, 	1, 	-1.38778e-15, 	3.04, 	(0.0611818,-0.774181);
18:10:11.997, 	1, 	2, 	25.0866, 	24.8743, 	1, 	-1.38778e-15, 	3.04, 	(-0.538996,0.00951479);
18:10:12.017, 	1, 	2, 	25.3619, 	24.5499, 	1, 	-1.38778e-15, 	3.04, 	(0.466416,-0.300271);
18:10:12.038, 	1, 	2, 	26.5114, 	25.3599, 	1, 	-1.38778e-15, 	3.04, 	(-0.480337,-0.498542);
18:10:12.057, 	1, 	2, 	25.3428, 	25.6432, 	1, 	-1.38778e-15, 	3.04, 	(0.371588,-0.491504);
18:10:12.078, 	1, 	2, 	23.364, 	25.1782, 	1, 	-1.38778e-15, 	3.04, 	(0.523945,-0.530874);
18:10:12.098, 	1, 	2, 	18.1859, 	19.0021, 	1, 	-1.38778e-15, 	3.04, 	(-0.291398,0.131128);
18:10:12.118, 	1, 	2, 	20.7193, 	22.6846, 	1, 	-1.38778e-15, 	3.04, 	(-0.168775,-0.546749);
18:10:12.143, 	1, 	2, 	25.1141, 	25.5314, 	1, 	-1.38778e-15, 	3.04, 	(-0.6237,0.334547);
18:10:12.158, 	1, 	2, 	23.7784, 	24.8422, 	1, 	-1.38778e-15, 	3.04, 	(0.481776,-0.143663);
18:10:12.179, 	1, 	2, 	23.7009, 	24.925, 	1, 	-1.38778e-15, 	3.04, 	(0.675184,-0.108507);
18:10:12.199, 	1, 	2, 	19.7104, 	22.8292, 	1, 	-1.38778e-15, 	3.04, 	(0.274309,-0.625448);
18:10:12.219, 	1, 	2, 	25.0343, 	24.8922, 	1, 	-1.38778e-15, 	3.04, 	(-0.43119,0.423298);
18:10:12.239, 	1, 	2, 	22.2822, 	24.6745, 	1, 	-1.38778e-15, 	3.04, 	(0.627697,-0.131341);
18:10:12.259, 	1, 	2, 	24.326, 	24.9607, 	1, 	-1.38778e-15, 	3.04, 	(-0.639176,-0.0551207);
18:10:12.280, 	1, 	2, 	19.8626, 	23.3045, 	1, 	-1.38778e-15, 	3.04, 	(0.419727,0.596718);
18:10:12.301, 	1, 	2, 	23.5166, 	24.9872, 	1, 	-1.38778e-15, 	3.04, 	(-0.0753238,0.67057);
18:10:12.320, 	1, 	2, 	24.038, 	24.8427, 	1, 	-1.38778e-15, 	3.04, 	(0.326663,-0.519002);
18:10:12.340, 	1, 	2, 	24.2966, 	25.2029, 	1, 	-1.38778e-15, 	3.04, 	(0.0757999,-0.762632);
18:10:12.360, 	1, 	2, 	18.9388, 	23.7721, 	1, 	-1.38778e-15, 	3.04, 	(0.682299,-0.129911);
18:10:12.380, 	1, 	2, 	26.2379, 	25.9256, 	1, 	-1.38778e-15, 	3.04, 	(0.70381,-0.0940923);
18:10:12.400, 	1, 	2, 	26.0539, 	25.1686, 	1, 	-1.38778e-15, 	3.04, 	(0.361465,-0.530612);
18:10:12.420, 	1, 	2, 	23.7042, 	26.6582, 	1, 	-1.38778e-15, 	3.04, 	(0.202547,-0.768535);
18:10:12.441, 	1, 	2, 	17.8673, 	22.0594, 	1, 	-1.38778e-15, 	3.04, 	(0.701085,0.11547);
18:10:12.461, 	1, 	2, 	24.9202, 	25.362, 	1, 	-1.38778e-15, 	3.04, 	(0.359126,-0.615012);
18:10:12.481, 	1, 	2, 	22.4575, 	25.0186, 	1, 	-1.38778e-15, 	3.04, 	(-0.471105,-0.598241);
18:10:12.501, 	1, 	2, 	24.9418, 	25.9149, 	1, 	-1.38778e-15, 	3.04, 	(0.381735,0.682332);
18:10:12.522, 	1, 	2, 	24.7744, 	26.0561, 	1, 	-1.38778e-15, 	3.04, 	(-0.323997,-0.354521);
18:10:12.541, 	1, 	2, 	25.6912, 	26.0106, 	1, 	-1.38778e-15, 	3.04, 	(-0.213865,-0.676048);
18:10:12.561, 	1, 	2, 	22.2028, 	25.4842, 	1, 	-1.38778e-15, 	3.04, 	(-0.125574,0.74412);
18:10:12.582, 	1, 	2, 	24.9471, 	25.6469, 	1, 	-1.38778e-15, 	3.04, 	(0.159367,-0.549664);
18:10:12.602, 	1, 	2, 	23.4179, 	25.3607, 	1, 	-1.38778e-15, 	3.04, 	(-0.726512,0.108675);
18:10:12.622, 	1, 	2, 	24.7366, 	25.8613, 	1, 	-1.38778e-15, 	3.04, 	(-0.685496,0.0998406);
18:10:12.642, 	1, 	2, 	20.9256, 	24.2615, 	1, 	-1.38778e-15, 	3.04, 	(-0.477329,0.552175);
18:10:12.662, 	1, 	2, 	24.8637, 	25.3228, 	1, 	-1.38778e-15, 	3.04, 	(0.392649,0.411448);
18:10:12.682, 	1, 	2, 	25.2918, 	25.5097, 	1, 	-1.38778e-15, 	3.04, 	(-0.370541,0.376458);
18:10:12.705, 	1, 	2, 	24.8545, 	26.1449, 	1, 	-1.38778e-15, 	3.04, 	(-0.0690794,-0.724237);
18:10:12.723, 	1, 	2, 	20.6472, 	23.7745, 	1, 	-1.38778e-15, 	3.04, 	(0.602888,0.403303);
18:10:12.743, 	1, 	2, 	26.5323, 	25.2003, 	1, 	-1.38778e-15, 	3.04, 	(-0.453803,-0.359533);
18:10:12.763, 	1, 	2, 	24.38, 	22.4615, 	1, 	-1.38778e-15, 	3.04, 	(0.398878,0.172652);
18:10:12.783, 	1, 	2, 	26.963, 	24.1091, 	1, 	-1.38778e-15, 	3.04, 	(0.265958,-0.0830427);
18:10:12.803, 	1, 	2, 	26.9255, 	25.7744, 	1, 	-1.38778e-15, 	3.04, 	(0.667123,-0.291735);
18:10:12.823, 	1, 	2, 	26.9722, 	25.8435, 	1, 	-1.38778e-15, 	3.04, 	(0.267926,-0.555889);
18:10:12.844, 	1, 	2, 	26.7842, 	25.5588, 	1, 	-1.38778e-15, 	3.04, 	(0.0992355,0.52249);
18:10:12.864, 	1, 	2, 	26.3028, 	25.5894, 	1, 	-1.38778e-15, 	3.04, 	(0.695802,-0.164027);
18:10:12.884, 	1, 	2, 	26.267, 	24.1085, 	1, 	-1.38778e-15, 	3.04, 	(0.128489,-0.442746);
18:10:12.904, 	1, 	2, 	22.5627, 	22.6304, 	1, 	-1.38778e-15, 	3.04, 	(-0.445429,-0.188851);
18:10:12.924, 	1, 	2, 	25.6899, 	25.8156, 	1, 	-1.38778e-15, 	3.04, 	(-0.361345,0.454368);
18:10:12.945, 	1, 	2, 	25.8001, 	25.9889, 	1, 	-1.38778e-15, 	3.04, 	(0.346856,0.354854);
18:10:12.965, 	1, 	2, 	19.6547, 	24.2357, 	1, 	-1.38778e-15, 	3.04, 	(-0.442209,0.579976);
18:10:12.985, 	1, 	2, 	21.8382, 	24.8576, 	1, 	-1.38778e-15, 	3.04, 	(-0.807058,-0.0464175);
18:10:13.005, 	0, 	2, 	23.3866, 	10.8523, 	1, 	-1.38778e-15, 	3.04, 	(0.017319,0.476655);
18:10:13.025, 	1, 	2, 	26.1222, 	25.4984, 	1, 	4, 	2.736, 	(0.248737,-0.669594);
18:10:13.038, 	1, 	1, 	24.7529, 	16.4882, 	0, 	4, 	2.432, 	(-0.520844,0.956023);(1.27578,0.878916);(0.0555465,-2.19509);(-1.633,1.42686);
18:10:13.065, 	1, 	2, 	20.7732, 	23.2506, 	1, 	4, 	2.432, 	(0.707735,-0.23048);
18:10:13.086, 	1, 	2, 	22.5324, 	24.6499, 	1, 	4, 	2.432, 	(0.40845,0.642377);
18:10:13.106, 	1, 	2, 	25.8112, 	25.5059, 	1, 	4, 	2.432, 	(0.728152,0.218223);
18:10:13.126, 	1, 	2, 	26.048, 	25.5059, 	1, 	4, 	2.432, 	(0.728152,0.218223);
18:10:13.150, 	1, 	2, 	24.6849, 	25.7591, 	1, 	4, 	2.432, 	(-0.528593,-0.718127);
18:10:13.166, 	1, 	2, 	22.6005, 	25.1366, 	1, 	4, 	2.432, 	(0.331162,-0.838692);
18:10:13.189, 	1, 	2, 	24.678, 	25.5157, 	1, 	4, 	2.432, 	(0.0491253,-0.840657);
