(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
19:13:42.128, 	1, 	2, 	15.1333, 	25.2326, 	1, 	40, 	1.52, 	(-0.652745,0.224214);
19:13:42.147, 	1, 	1, 	16.1706, 	8.37764, 	0, 	36, 	1.52, 	(-0.603278,-0.274934);(0.846429,0.70026);(-1.67897,-0.0649466);(1.12435,-0.930741);
19:13:42.168, 	1, 	2, 	14.3667, 	22.2377, 	1, 	36, 	1.824, 	(-0.559152,-0.347053);
19:13:42.207, 	0, 	1, 	16.1067, 	10.7982, 	1, 	36, 	1.824, 	(-0.109461,1.04708);(0.468883,-1.60143);(0.644582,1.54141);(-1.30977,-0.610771);
19:13:42.228, 	1, 	2, 	15.3083, 	20.6462, 	1, 	36, 	1.824, 	(0.553335,-0.234272);
19:13:42.249, 	1, 	2, 	15.5114, 	21.9672, 	1, 	36, 	2.128, 	(-0.10826,-0.572241);
19:13:42.268, 	0, 	1, 	16.3995, 	14.8135, 	1, 	36, 	2.128, 	(-1.09128,-0.215229);(1.71344,0.370979);(-0.976053,0.518142);(0.340673,-0.991916);
19:13:42.308, 	0, 	1, 	15.077, 	9.22647, 	0, 	36, 	1.824, 	(-1.21909,0.55232);(1.41516,-0.765898);(-0.617788,1.44603);(-0.383981,-1.27231);
19:13:42.328, 	0, 	1, 	15.2918, 	10.9319, 	0, 	36, 	1.52, 	(-0.717072,0.615109);(1.0691,-0.738437);(-0.543383,1.67483);(-0.631903,-1.36014);
19:13:42.350, 	1, 	2, 	13.3931, 	19.2486, 	1, 	36, 	1.52, 	(0.431693,0.109001);
19:13:42.368, 	0, 	1, 	15.2965, 	10.229, 	1, 	36, 	1.52, 	(1.0814,-0.790094);(-1.13044,0.963096);(0.324742,-1.65627);(0.668367,1.22922);
19:13:42.388, 	0, 	1, 	15.345, 	8.55108, 	0, 	36, 	1.216, 	(0.91339,-0.829484);(-1.3426,1.10546);(0.255096,-1.48567);(0.700428,1.12631);
19:13:42.410, 	1, 	2, 	15.4649, 	24.1831, 	1, 	40, 	1.216, 	(-0.29483,-0.590099);
19:13:42.428, 	1, 	1, 	15.1244, 	9.44746, 	0, 	40, 	1.216, 	(-1.18639,0.161001);(1.42429,-0.250546);(-1.21999,1.28403);(0.0666907,-1.51124);
19:13:42.448, 	0, 	1, 	15.4171, 	7.51598, 	0, 	40, 	1.216, 	(1.06287,0.513502);(-1.4425,-0.750831);(1.61005,-0.346986);(-0.855372,1.17132);
19:13:42.470, 	1, 	2, 	15.2165, 	23.3327, 	1, 	40, 	0.912, 	(0.271167,-0.585608);
19:13:42.531, 	1, 	2, 	14.56, 	18.9274, 	1, 	36, 	1.216, 	(-0.451526,-0.0096364);
19:13:42.549, 	0, 	1, 	16.6126, 	8.93655, 	1, 	36, 	1.216, 	(0.669693,-1.15453);(-0.855056,1.46003);(-0.31051,-1.48101);(1.13456,0.805018);
