(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);

 NEW RECORD - 08-21-2023 19:10:44time, CRC, type, snr, data_snr, reward, per_val, Throughput
19:10:53.709, 	1, 	1, 	24.1607, 	17.4911, 	0, 	44, 	0, 	(-0.945986,0.743653);(1.50467,-1.84383);(-0.286583,2.58713);(-0.0824234,-1.91255);
19:10:53.759, 	1, 	1, 	22.2643, 	14.0208, 	0, 	40, 	0, 	(0.685931,0.831572);(-1.64341,-1.06996);(2.72016,0.136962);(-1.95763,0.225857);
19:10:53.809, 	1, 	1, 	22.5158, 	17.3191, 	0, 	40, 	0, 	(-0.645573,-1.04154);(1.70552,1.82868);(-2.42245,-0.552992);(1.84016,0.124912);
19:10:53.860, 	1, 	1, 	24.0645, 	14.165, 	0, 	36, 	0, 	(1.11499,0.509087);(-2.47383,-0.574603);(1.65581,-0.683875);(-1.17123,0.713325);
19:10:53.909, 	1, 	1, 	23.7922, 	13.6952, 	0, 	36, 	0, 	(-0.803748,-0.735828);(1.85087,0.880067);(-0.917083,0.209061);(0.703775,-0.217519);
19:10:53.959, 	1, 	1, 	22.1756, 	14.1731, 	0, 	32, 	0, 	(1.15632,0.175228);(-2.3485,0.0956945);(2.15519,-1.5034);(-1.38193,1.3415);
19:10:54.010, 	1, 	1, 	21.8079, 	13.4218, 	0, 	32, 	0, 	(-0.217268,-0.889585);(0.698851,1.8522);(-2.15673,-1.60062);(1.77703,0.853236);
19:10:54.060, 	1, 	1, 	24.1193, 	16.0564, 	0, 	28, 	0, 	(-0.422993,1.11017);(0.477314,-2.44244);(0.987689,2.30109);(-1.02767,-1.56854);
19:10:54.168, 	1, 	2, 	25.8269, 	26.0409, 	1, 	28, 	0.304, 	(-0.5207,0.681114);
19:10:54.253, 	1, 	2, 	22.7044, 	25.2944, 	1, 	24, 	0.608, 	(-0.821706,-0.0345882);
19:10:54.354, 	1, 	2, 	21.1287, 	25.2816, 	1, 	24, 	0.912, 	(-0.851316,-0.30889);
19:10:54.454, 	1, 	2, 	22.0296, 	25.5126, 	1, 	20, 	1.216, 	(-0.627788,-0.673157);
19:10:54.560, 	1, 	2, 	21.7893, 	25.8053, 	1, 	20, 	1.52, 	(-0.171498,0.894957);
19:10:54.653, 	1, 	2, 	23.5593, 	25.877, 	1, 	16, 	1.824, 	(0.417215,-0.376804);
19:10:54.753, 	1, 	2, 	24.5254, 	25.3765, 	1, 	16, 	2.128, 	(0.0954262,0.861174);
19:10:54.853, 	1, 	2, 	23.871, 	26.413, 	1, 	16, 	2.432, 	(-0.475781,0.671323);
19:10:54.953, 	1, 	2, 	23.9131, 	25.4949, 	1, 	12, 	2.736, 	(-0.626365,0.455702);
19:10:55.053, 	1, 	2, 	22.1577, 	24.4972, 	1, 	12, 	3.04, 	(-0.277531,-0.874535);
19:10:55.154, 	1, 	2, 	23.3126, 	25.3711, 	1, 	8, 	3.04, 	(-0.538837,0.365943);
19:10:55.253, 	1, 	2, 	23.1313, 	25.5368, 	1, 	8, 	3.04, 	(0.468793,0.352017);
19:10:55.354, 	1, 	2, 	17.8804, 	23.2207, 	1, 	4, 	3.04, 	(0.840717,-0.0569266);
19:10:55.454, 	1, 	2, 	19.054, 	24.2473, 	1, 	9.71445e-15, 	3.04, 	(-0.0955682,-0.867722);
19:10:55.554, 	1, 	2, 	23.7171, 	25.6738, 	1, 	9.71445e-15, 	3.04, 	(0.499596,-0.621354);
19:10:55.568, 	1, 	1, 	23.284, 	14.8816, 	0, 	9.71445e-15, 	2.736, 	(0.913896,-0.616777);(-1.33187,1.62259);(0.0282685,-0.994744);(0.0566792,0.779628);
19:10:55.654, 	1, 	2, 	22.1932, 	24.491, 	1, 	9.71445e-15, 	2.736, 	(0.306789,-0.67144);
19:10:55.754, 	1, 	2, 	22.2728, 	25.6607, 	1, 	9.71445e-15, 	2.736, 	(0.897493,0.147127);
19:10:55.854, 	1, 	2, 	23.7395, 	25.8094, 	1, 	9.71445e-15, 	2.736, 	(-0.482608,0.34544);
19:10:55.954, 	1, 	2, 	22.9128, 	25.7851, 	1, 	9.71445e-15, 	2.736, 	(-0.168262,0.491865);
19:10:56.054, 	1, 	2, 	18.7651, 	23.3763, 	1, 	9.71445e-15, 	2.736, 	(0.477664,-0.722356);
19:10:56.154, 	1, 	2, 	19.9361, 	24.8678, 	1, 	9.71445e-15, 	2.736, 	(0.881126,0.1232);
19:10:56.255, 	1, 	2, 	21.6751, 	24.9552, 	1, 	9.71445e-15, 	2.736, 	(0.448183,-0.789964);
19:10:56.355, 	1, 	2, 	22.5331, 	25.2374, 	1, 	9.71445e-15, 	2.736, 	(0.540841,-0.740033);
19:10:56.454, 	1, 	2, 	22.8125, 	25.4559, 	1, 	9.71445e-15, 	2.736, 	(0.888114,-0.177448);
19:10:56.555, 	1, 	2, 	24.4637, 	26.6158, 	1, 	9.71445e-15, 	3.04, 	(-0.890392,-0.0598129);
19:10:56.655, 	1, 	2, 	23.7294, 	25.8341, 	1, 	9.71445e-15, 	3.04, 	(0.350459,-0.780228);
19:10:56.755, 	1, 	2, 	23.7414, 	25.2681, 	1, 	9.71445e-15, 	3.04, 	(0.775241,0.193717);
19:10:56.855, 	1, 	2, 	19.9353, 	25.0019, 	1, 	9.71445e-15, 	3.04, 	(-0.519848,-0.746042);
19:10:56.955, 	1, 	2, 	22.8718, 	25.3791, 	1, 	9.71445e-15, 	3.04, 	(0.270284,0.64796);
19:10:57.055, 	1, 	2, 	21.6978, 	25.3999, 	1, 	9.71445e-15, 	3.04, 	(0.884914,-0.203328);
19:10:57.155, 	1, 	2, 	23.6694, 	25.9927, 	1, 	9.71445e-15, 	3.04, 	(-0.139841,0.548427);
19:10:57.255, 	1, 	2, 	18.4811, 	23.7168, 	1, 	9.71445e-15, 	3.04, 	(0.806278,-0.259429);
19:10:57.355, 	1, 	2, 	23.8309, 	24.8558, 	1, 	9.71445e-15, 	3.04, 	(0.735563,0.352735);
19:10:57.455, 	1, 	2, 	23.5914, 	25.3532, 	1, 	9.71445e-15, 	3.04, 	(0.773215,-0.0940757);
19:10:57.555, 	1, 	2, 	21.7939, 	25.4636, 	1, 	9.71445e-15, 	3.04, 	(-0.825296,0.406759);
19:10:57.569, 	1, 	1, 	20.868, 	14.0429, 	0, 	9.71445e-15, 	2.736, 	(0.63412,-0.605144);(-1.32657,1.45728);(0.404975,-2.64684);(0.0803538,1.9696);
19:10:57.656, 	1, 	2, 	23.2814, 	24.3205, 	1, 	9.71445e-15, 	2.736, 	(0.322021,0.54153);
19:10:57.768, 	1, 	2, 	23.3863, 	26.4405, 	1, 	9.71445e-15, 	2.736, 	(0.471951,-0.316034);
19:10:57.856, 	1, 	2, 	22.8725, 	26.5359, 	1, 	9.71445e-15, 	2.736, 	(0.816214,0.306403);
19:10:57.956, 	1, 	2, 	23.5449, 	26.0425, 	1, 	9.71445e-15, 	2.736, 	(0.182943,-0.802495);
19:10:58.056, 	1, 	2, 	20.3645, 	24.8178, 	1, 	9.71445e-15, 	2.736, 	(-0.036999,-0.894695);
19:10:58.156, 	1, 	2, 	23.7454, 	25.1148, 	1, 	9.71445e-15, 	2.736, 	(0.705171,0.139361);
19:10:58.257, 	1, 	2, 	23.4895, 	25.2814, 	1, 	9.71445e-15, 	2.736, 	(-0.584397,0.705088);
19:10:58.357, 	1, 	2, 	22.9119, 	25.0689, 	1, 	9.71445e-15, 	2.736, 	(-0.545616,0.698956);
19:10:58.462, 	1, 	2, 	17.9152, 	21.7226, 	1, 	9.71445e-15, 	2.736, 	(-0.194693,-0.789626);
19:10:58.556, 	1, 	2, 	19.2066, 	22.8193, 	1, 	9.71445e-15, 	3.04, 	(0.663277,0.55591);
19:10:58.657, 	1, 	2, 	20.7118, 	24.571, 	1, 	9.71445e-15, 	3.04, 	(0.558182,-0.715455);
19:10:58.757, 	1, 	2, 	23.0739, 	25.1887, 	1, 	9.71445e-15, 	3.04, 	(0.0131815,0.721742);
19:10:58.857, 	1, 	2, 	22.8397, 	25.7975, 	1, 	9.71445e-15, 	3.04, 	(-0.683001,-0.607228);
19:10:58.957, 	1, 	2, 	24.5103, 	25.4081, 	1, 	9.71445e-15, 	3.04, 	(-0.392042,0.441222);
19:10:59.057, 	1, 	2, 	24.0054, 	25.6418, 	1, 	9.71445e-15, 	3.04, 	(-0.839698,0.27975);
19:10:59.157, 	1, 	2, 	23.4973, 	26.2903, 	1, 	9.71445e-15, 	3.04, 	(0.748153,-0.405698);
19:10:59.257, 	1, 	2, 	20.8301, 	25.0177, 	1, 	9.71445e-15, 	3.04, 	(0.572239,0.697174);
19:10:59.361, 	1, 	2, 	23.7792, 	26.137, 	1, 	9.71445e-15, 	3.04, 	(0.859201,-0.24761);
19:10:59.457, 	1, 	2, 	21.8118, 	26.0974, 	1, 	9.71445e-15, 	3.04, 	(0.122269,-0.908619);
19:10:59.557, 	1, 	2, 	23.0726, 	25.8361, 	1, 	9.71445e-15, 	3.04, 	(0.564615,0.219377);
19:10:59.571, 	1, 	1, 	22.6269, 	12.8423, 	0, 	9.71445e-15, 	2.736, 	(0.81092,-0.61023);(-1.65782,1.51103);(0.623841,-2.59103);(-0.109856,1.96377);
19:10:59.657, 	1, 	2, 	24.1146, 	25.5274, 	1, 	9.71445e-15, 	2.736, 	(-0.176335,-0.869861);
19:10:59.757, 	1, 	2, 	18.5623, 	23.1971, 	1, 	9.71445e-15, 	2.736, 	(-0.472708,-0.717715);
19:10:59.857, 	1, 	2, 	23.4835, 	26.4584, 	1, 	9.71445e-15, 	2.736, 	(0.391373,0.699255);
19:10:59.958, 	1, 	2, 	23.4271, 	25.7047, 	1, 	9.71445e-15, 	2.736, 	(-0.251884,0.704734);
19:11:00.057, 	1, 	2, 	22.9246, 	26.6604, 	1, 	9.71445e-15, 	2.736, 	(-0.560063,-0.40084);
19:11:00.158, 	1, 	2, 	23.0138, 	25.4571, 	1, 	9.71445e-15, 	2.736, 	(-0.557307,-0.708849);
19:11:00.258, 	1, 	2, 	23.7726, 	25.732, 	1, 	9.71445e-15, 	2.736, 	(0.736187,0.507576);
19:11:00.358, 	1, 	2, 	18.1296, 	23.6143, 	1, 	9.71445e-15, 	2.736, 	(0.589995,0.631538);
19:11:00.458, 	1, 	2, 	23.8105, 	26.0826, 	1, 	9.71445e-15, 	2.736, 	(0.694678,0.405913);
19:11:00.558, 	1, 	2, 	21.646, 	25.176, 	1, 	9.71445e-15, 	3.04, 	(0.905244,0.0695323);
19:11:00.658, 	1, 	2, 	22.3385, 	25.7654, 	1, 	9.71445e-15, 	3.04, 	(0.76761,-0.513698);
19:11:00.770, 	1, 	2, 	23.127, 	25.8444, 	1, 	9.71445e-15, 	3.04, 	(-0.411495,0.458958);
19:11:00.858, 	1, 	2, 	22.5645, 	25.2029, 	1, 	9.71445e-15, 	3.04, 	(0.300637,0.444714);
19:11:00.959, 	1, 	2, 	17.7011, 	22.6922, 	1, 	9.71445e-15, 	3.04, 	(0.820167,0.199574);
19:11:01.058, 	1, 	2, 	19.6871, 	16.2605, 	1, 	9.71445e-15, 	3.04, 	(0.150914,0.325712);
19:11:01.159, 	1, 	2, 	23.89, 	25.0972, 	1, 	9.71445e-15, 	3.04, 	(-0.764396,0.0521624);
19:11:01.258, 	1, 	2, 	24.1763, 	25.9412, 	1, 	9.71445e-15, 	3.04, 	(-0.0397483,-0.69719);
19:11:01.359, 	1, 	2, 	22.3514, 	25.7992, 	1, 	9.71445e-15, 	3.04, 	(-0.457627,0.790425);
19:11:01.459, 	1, 	2, 	23.5003, 	26.6403, 	1, 	9.71445e-15, 	3.04, 	(0.319928,0.439034);
19:11:01.524, 	1, 	1, 	24.1976, 	15.0678, 	0, 	9.71445e-15, 	2.736, 	(-0.225936,-1.27531);(1.03396,2.31092);(-1.7346,-0.991199);(1.38639,0.56594);
19:11:01.659, 	1, 	2, 	24.1749, 	25.7838, 	1, 	9.71445e-15, 	2.736, 	(-0.438076,-0.693864);
19:11:01.759, 	1, 	2, 	24.0786, 	25.2997, 	1, 	9.71445e-15, 	2.736, 	(0.731041,0.204827);
19:11:01.864, 	1, 	2, 	22.997, 	25.7382, 	1, 	9.71445e-15, 	2.736, 	(0.300236,-0.631272);
19:11:01.959, 	1, 	2, 	22.2694, 	25.6435, 	1, 	9.71445e-15, 	2.736, 	(-0.52445,-0.741489);
19:11:02.060, 	1, 	2, 	23.2917, 	25.945, 	1, 	9.71445e-15, 	2.736, 	(0.635109,0.628511);
19:11:02.159, 	1, 	2, 	23.4398, 	25.3804, 	1, 	9.71445e-15, 	2.736, 	(0.625136,-0.600727);
19:11:02.259, 	1, 	2, 	24.0781, 	25.4492, 	1, 	9.71445e-15, 	2.736, 	(0.315388,-0.759166);
19:11:02.360, 	1, 	2, 	21.6291, 	26.0905, 	1, 	9.71445e-15, 	2.736, 	(-0.883334,-0.185245);
19:11:02.460, 	1, 	2, 	23.4459, 	26.0794, 	1, 	9.71445e-15, 	2.736, 	(-0.613033,0.360151);
19:11:02.560, 	1, 	2, 	23.96, 	25.5771, 	1, 	9.71445e-15, 	3.04, 	(0.636644,0.12495);
19:11:02.660, 	1, 	2, 	22.7599, 	25.7691, 	1, 	9.71445e-15, 	3.04, 	(-0.535488,-0.179023);
