(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
14:39:42.091, 	1, 	1, 	25.0644, 	20.1213, 	0, 	-1.38778e-15, 	0.912, 	(-0.951928,0.881038);(-0.318917,1.84088);(2.1174,1.22306);(1.30261,-2.16294);
14:39:42.113, 	1, 	2, 	29.3631, 	25.8792, 	1, 	-1.38778e-15, 	1.216, 	(0.718009,-0.186877);
14:39:42.132, 	1, 	1, 	32.383, 	25.2091, 	0, 	-1.38778e-15, 	0.912, 	(1.68298,0.384965);(1.93346,-0.966882);(-0.1851,-2.32893);(-2.32107,-0.0222412);
14:39:42.152, 	1, 	1, 	31.2284, 	20.1003, 	0, 	-1.38778e-15, 	0.912, 	(-1.32892,-0.416724);(-1.36518,0.742644);(0.143402,0.795068);(0.863041,-0.000649792);
14:39:42.173, 	1, 	2, 	30.7519, 	26.1696, 	1, 	-1.38778e-15, 	1.216, 	(-0.438427,0.612021);
14:39:42.192, 	1, 	1, 	30.97, 	22.1692, 	0, 	-1.38778e-15, 	0.912, 	(-1.13313,1.0957);(-0.224974,1.93771);(1.26899,0.714376);(0.970004,-1.19025);
14:39:42.214, 	1, 	2, 	28.7563, 	26.151, 	1, 	-1.38778e-15, 	1.216, 	(0.0710197,-0.529531);
14:39:42.234, 	1, 	2, 	20.854, 	24.3237, 	1, 	-1.38778e-15, 	1.52, 	(-0.523153,-0.78234);
14:39:42.252, 	1, 	1, 	32.0448, 	23.7609, 	0, 	-1.38778e-15, 	1.216, 	(-0.0172305,-1.71677);(-1.30683,-1.73003);(-1.72113,0.323704);(-0.0566269,1.8571);
14:39:42.274, 	1, 	2, 	29.2195, 	25.855, 	1, 	-1.38778e-15, 	1.52, 	(0.444215,-0.505801);
14:39:42.294, 	1, 	2, 	30.9789, 	26.928, 	1, 	-1.38778e-15, 	1.824, 	(-0.362959,0.890475);
14:39:42.312, 	1, 	1, 	24.4813, 	19.1251, 	0, 	-1.38778e-15, 	1.52, 	(0.84855,0.904959);(1.68382,0.855701);(2.14768,-1.29274);(-0.893966,-2.52747);
14:39:42.335, 	1, 	2, 	29.7276, 	25.5865, 	1, 	-1.38778e-15, 	1.824, 	(0.124041,-0.75665);
14:39:42.355, 	1, 	2, 	29.3698, 	26.5751, 	1, 	-1.38778e-15, 	2.128, 	(0.68103,-0.746559);
14:39:42.373, 	1, 	1, 	31.5019, 	24.874, 	0, 	-1.38778e-15, 	1.824, 	(0.755503,-1.66508);(-0.116457,-2.2265);(-1.8143,-1.25642);(-1.82799,1.47903);
14:39:42.399, 	1, 	2, 	29.1926, 	26.6958, 	1, 	-1.38778e-15, 	2.128, 	(-0.373493,0.513767);
14:39:42.415, 	1, 	2, 	26.4305, 	19.8557, 	1, 	-1.38778e-15, 	2.128, 	(-0.608153,-0.142596);
14:39:42.433, 	1, 	1, 	30.9596, 	21.7574, 	0, 	-1.38778e-15, 	1.824, 	(-0.979115,-1.35027);(-1.64686,-0.919951);(-1.16602,0.480667);(0.0593845,1.33046);
14:39:42.456, 	1, 	2, 	20.7516, 	24.5908, 	1, 	-1.38778e-15, 	2.128, 	(-0.962343,0.03386);
14:39:42.473, 	1, 	1, 	25.6862, 	22.466, 	0, 	-1.38778e-15, 	1.824, 	(1.19674,0.644829);(1.83733,0.68517);(2.31635,-1.05357);(-0.346505,-2.7239);
14:39:42.494, 	1, 	1, 	28.556, 	24.3065, 	0, 	-1.38778e-15, 	1.52, 	(-0.172303,-1.54729);(-0.655783,-2.06232);(-2.15411,-1.24314);(-2.01239,1.76011);
14:39:42.516, 	1, 	2, 	19.487, 	23.9539, 	1, 	-1.38778e-15, 	1.824, 	(0.0402417,0.937163);
14:39:42.534, 	1, 	1, 	32.4751, 	26.4727, 	0, 	-1.38778e-15, 	1.52, 	(-1.69167,0.571417);(-1.85804,1.29581);(-0.495855,1.92406);(1.9064,1.37922);
14:39:42.554, 	1, 	1, 	32.5723, 	23.4408, 	0, 	-1.38778e-15, 	1.216, 	(1.75145,-0.382143);(1.91616,-1.03899);(0.585511,-1.60336);(-1.45505,-1.41428);
14:39:42.577, 	1, 	2, 	28.951, 	26.3739, 	1, 	-1.38778e-15, 	1.52, 	(-0.830454,0.580971);
14:39:42.594, 	1, 	1, 	31.1097, 	26.5111, 	0, 	-1.38778e-15, 	1.216, 	(0.596768,-1.54308);(0.154076,-1.84173);(-0.722931,-0.827766);(-1.21561,0.196864);
14:39:42.614, 	1, 	1, 	31.0857, 	27.2339, 	0, 	-1.38778e-15, 	0.912, 	(0.98105,1.18509);(1.36273,0.885764);(0.704445,-0.208144);(0.288792,-0.773282);
14:39:42.637, 	1, 	2, 	29.8877, 	26.013, 	1, 	-1.38778e-15, 	1.216, 	(-0.356634,-0.696245);
14:39:42.655, 	1, 	1, 	29.7511, 	23.9975, 	0, 	-1.38778e-15, 	0.912, 	(1.31735,-1.10571);(1.57326,-1.58414);(0.322702,-2.31083);(-2.2777,-1.77143);
14:39:42.675, 	1, 	1, 	32.0543, 	22.7508, 	0, 	-1.38778e-15, 	0.912, 	(-1.06731,1.3983);(-0.806158,1.60981);(0.271767,0.942548);(1.0808,0.416554);
14:39:42.698, 	1, 	2, 	23.3036, 	26.7286, 	1, 	-1.38778e-15, 	1.216, 	(-0.5337,-0.922477);
14:39:42.715, 	1, 	1, 	27.2064, 	23.3726, 	0, 	-1.38778e-15, 	0.912, 	(-1.63977,0.09864);(-2.05748,-0.0250619);(-2.12046,1.20607);(-0.246923,2.97027);
14:39:42.738, 	1, 	2, 	29.5784, 	25.7655, 	1, 	-1.38778e-15, 	1.216, 	(0.513435,-0.288956);
14:39:42.760, 	1, 	2, 	32.0797, 	25.853, 	1, 	-1.38778e-15, 	1.52, 	(0.227262,-0.886199);
14:39:42.775, 	1, 	1, 	33.0698, 	25.4713, 	0, 	-1.38778e-15, 	1.216, 	(0.911575,-1.77313);(1.15375,-1.88249);(-0.00321509,-1.83223);(-1.64438,-1.48446);
14:39:42.799, 	1, 	2, 	30.2918, 	25.3284, 	1, 	-1.38778e-15, 	1.52, 	(-0.0756792,-0.664857);
14:39:42.819, 	1, 	2, 	32.1035, 	26.0988, 	1, 	-1.38778e-15, 	1.824, 	(-0.674001,-0.665272);
14:39:42.835, 	1, 	1, 	32.126, 	25.3315, 	0, 	-1.38778e-15, 	1.52, 	(0.324515,-1.63213);(0.417357,-1.6696);(-0.405846,-0.783606);(-0.735263,-0.496819);
14:39:42.859, 	1, 	2, 	25.6552, 	26.5911, 	1, 	-1.38778e-15, 	1.824, 	(-0.956764,-0.191143);
14:39:42.879, 	1, 	2, 	28.7833, 	25.4445, 	1, 	-1.38778e-15, 	2.128, 	(0.322404,0.494388);
14:39:42.896, 	1, 	1, 	30.9671, 	23.3282, 	0, 	-1.38778e-15, 	1.824, 	(-1.48635,1.15468);(-2.07443,0.878243);(-1.54527,1.57617);(-0.152805,2.6905);
14:39:42.919, 	1, 	2, 	23.5184, 	24.9355, 	1, 	-1.38778e-15, 	2.128, 	(0.901569,-0.36425);
14:39:42.940, 	1, 	2, 	30.387, 	24.6455, 	1, 	-1.38778e-15, 	2.128, 	(0.6572,-0.154329);
14:39:42.956, 	1, 	1, 	28.8378, 	26.5857, 	0, 	-1.38778e-15, 	1.824, 	(-1.13977,-1.54184);(-0.700132,-2.2245);(-1.44421,-1.97453);(-2.56872,-1.04868);
14:39:42.980, 	1, 	2, 	21.1515, 	24.6247, 	1, 	-1.38778e-15, 	2.128, 	(0.150473,0.906759);
14:39:42.996, 	1, 	1, 	24.4353, 	21.4601, 	0, 	-1.38778e-15, 	1.824, 	(-1.32849,0.565786);(-1.93689,-0.231582);(-2.5106,0.256649);(-2.2051,1.86409);
14:39:43.016, 	1, 	1, 	33.4889, 	22.8205, 	0, 	-1.38778e-15, 	1.52, 	(-1.83975,0.708887);(-2.29413,0.206019);(-1.54907,0.641306);(-1.25067,1.47172);
14:39:43.041, 	1, 	2, 	29.6375, 	26.8045, 	1, 	-1.38778e-15, 	1.824, 	(-0.479093,-0.21211);
14:39:43.057, 	1, 	1, 	32.7178, 	20.9992, 	0, 	-1.38778e-15, 	1.52, 	(-0.809696,-1.75371);(-0.138203,-2.40221);(-0.547653,-2.11914);(-1.77403,-1.81646);
