
 NEW RECORD - 08-21-2023 18:30:47time, CRC, type, snr, data_snr, reward, per_val, Throughput
18:30:51.718, 	1, 	1, 	19.2822, 	12.3724, 	0, 	48, 	0.608, 	(-0.836761,-0.34427);(0.928148,1.14909);(-0.625274,-1.13586);(0.0853553,1.1175);
18:30:51.783, 	0, 	2, 	20.0542, 	11.0054, 	0, 	48, 	0.608, 	(-0.0471539,-0.042633);
18:30:51.818, 	1, 	1, 	20.684, 	12.0112, 	0, 	48, 	0.608, 	(-0.932326,0.19894);(1.29951,0.495735);(-0.997352,-0.566937);(0.588966,0.796504);
18:30:51.883, 	0, 	2, 	20.4347, 	14.9015, 	0, 	48, 	0.608, 	(-0.12119,-0.00566404);
18:30:51.932, 	1, 	1, 	20.8672, 	12.4501, 	0, 	48, 	0.304, 	(0.803488,-0.121594);(-1.328,-0.575059);(1.41685,1.073);(-0.761856,-1.29693);
18:30:51.983, 	0, 	2, 	17.2019, 	14.6984, 	0, 	48, 	0.304, 	(0.0270528,-0.107828);
18:30:52.018, 	1, 	1, 	19.9247, 	14.3553, 	0, 	48, 	-7.10543e-17, 	(0.841066,0.435698);(-0.585892,-1.36434);(0.356976,1.59576);(0.180301,-1.41384);
18:30:52.083, 	0, 	2, 	16.6296, 	13.8234, 	0, 	48, 	-7.10543e-17, 	(0.0871158,0.00509538);
18:30:52.119, 	0, 	1, 	19.4947, 	12.7946, 	0, 	52, 	-7.10543e-17, 	(-0.967077,0.0295775);(1.19219,0.856469);(-1.0902,-1.08851);(0.493494,1.22433);
18:30:52.183, 	0, 	2, 	18.5796, 	14.3387, 	0, 	52, 	-7.10543e-17, 	(-0.0983813,-0.00277668);
18:30:52.219, 	1, 	1, 	19.157, 	13.6397, 	0, 	52, 	-7.10543e-17, 	(-0.400544,-0.419394);(0.319447,1.19091);(0.0618988,-1.8842);(-0.675508,1.46175);
18:30:52.283, 	1, 	2, 	19.0555, 	19.0693, 	1, 	52, 	0.304, 	(-0.11345,0.184128);
18:30:52.370, 	1, 	1, 	18.8636, 	15.0133, 	0, 	48, 	0.304, 	(-0.26642,0.358279);(0.97543,-0.419366);(-1.81482,0.165149);(1.5117,0.466755);
