(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
19:24:38.179, 	1, 	2, 	26.8864, 	19.6464, 	1, 	4, 	2.736, 	(-0.145881,-0.0262636);
19:24:38.200, 	1, 	2, 	26.7599, 	19.9816, 	1, 	4, 	3.04, 	(0.0200517,0.112505);
19:24:38.220, 	1, 	2, 	26.8395, 	18.3651, 	1, 	4, 	3.04, 	(0.0202812,-0.218341);
19:24:38.240, 	1, 	2, 	28.0329, 	18.3651, 	1, 	4, 	3.04, 	(0.0202812,-0.218341);
19:24:38.260, 	1, 	2, 	20.9105, 	23.5002, 	1, 	4, 	3.04, 	(-0.465833,-0.596212);
19:24:38.280, 	1, 	2, 	27.828, 	24.8593, 	1, 	4, 	3.04, 	(-0.455806,0.386135);
19:24:38.300, 	1, 	2, 	27.1053, 	25.2569, 	1, 	4, 	3.04, 	(-0.607814,0.47613);
19:24:38.320, 	1, 	2, 	19.9386, 	24.0604, 	1, 	4, 	3.04, 	(-0.35041,0.776922);
19:24:38.343, 	1, 	2, 	27.4037, 	25.6549, 	1, 	4, 	3.04, 	(0.686836,-0.169533);
19:24:38.361, 	1, 	2, 	27.3717, 	25.96, 	1, 	4, 	3.04, 	(0.575365,0.110326);
19:24:38.384, 	1, 	2, 	27.485, 	25.1182, 	1, 	4, 	3.04, 	(-0.440051,-0.175599);
19:24:38.401, 	1, 	2, 	20.1856, 	23.7319, 	1, 	4, 	3.04, 	(0.195243,0.646589);
19:24:38.422, 	1, 	2, 	23.5299, 	24.073, 	1, 	4, 	3.04, 	(0.530312,-0.391342);
19:24:38.442, 	1, 	2, 	26.8891, 	17.4547, 	1, 	4, 	3.04, 	(-0.0529221,-0.18942);
19:24:38.463, 	1, 	2, 	20.0065, 	23.1141, 	1, 	-1.249e-14, 	3.04, 	(0.329371,-0.519527);
19:24:38.482, 	1, 	2, 	22.1322, 	23.1141, 	1, 	-1.249e-14, 	3.04, 	(0.329371,-0.519527);
19:24:38.502, 	0, 	2, 	26.6225, 	17.0881, 	1, 	-1.249e-14, 	3.04, 	(-0.128851,-0.0281793);
19:24:38.526, 	1, 	2, 	26.5442, 	24.8874, 	1, 	4, 	2.736, 	(-0.391498,-0.435352);
19:24:38.535, 	1, 	1, 	23.79, 	21.7435, 	0, 	4, 	2.432, 	(-0.874705,-0.114081);(0.209949,-1.20519);(1.27837,-0.882436);(1.7693,-0.286764);
19:24:38.562, 	1, 	2, 	24.5469, 	24.9625, 	1, 	4, 	2.432, 	(-0.0803149,0.510295);
19:24:38.582, 	1, 	2, 	23.4454, 	22.7782, 	1, 	4, 	2.432, 	(0.291445,0.0600365);
19:24:38.603, 	1, 	2, 	23.2085, 	23.2033, 	1, 	4, 	2.432, 	(0.113974,-0.0336932);
19:24:38.623, 	1, 	2, 	24.5796, 	21.781, 	1, 	4, 	2.432, 	(-0.142836,-0.138607);
19:24:38.643, 	1, 	2, 	22.2716, 	19.051, 	1, 	4, 	2.432, 	(0.124303,-0.187682);
19:24:38.663, 	0, 	2, 	23.1693, 	13.6765, 	1, 	4, 	2.432, 	(-0.0477921,0.015701);
19:24:38.684, 	0, 	2, 	21.9601, 	13.4783, 	0, 	8, 	2.128, 	(0.0535507,0.0138724);
19:24:38.697, 	1, 	1, 	22.5859, 	19.2376, 	0, 	12, 	1.824, 	(0.544663,0.0812599);(0.00397126,0.899391);(-0.716021,0.798684);(-1.04647,0.504312);
19:24:38.724, 	1, 	2, 	22.6079, 	13.9005, 	1, 	12, 	1.824, 	(0.10195,-0.050814);
19:24:38.744, 	1, 	2, 	21.4333, 	13.6918, 	1, 	12, 	2.128, 	(-0.0548471,-0.0663196);
19:24:38.764, 	1, 	2, 	18.9592, 	22.123, 	1, 	12, 	2.128, 	(-0.233768,0.248631);
19:24:38.784, 	0, 	2, 	21.6454, 	13.1206, 	1, 	12, 	2.128, 	(0.0513023,0.000984213);
19:24:38.805, 	1, 	2, 	20.7841, 	14.1954, 	1, 	16, 	1.824, 	(-0.0661933,-0.0723309);
19:24:38.818, 	1, 	1, 	19.6536, 	20.2652, 	0, 	16, 	1.52, 	(-0.340188,-0.255757);(0.000885806,-0.520759);(0.679634,-0.405247);(0.737043,-0.0324881);
19:24:38.845, 	0, 	2, 	18.825, 	7.2027, 	0, 	16, 	1.52, 	(0.00104172,-0.0450484);
19:24:38.865, 	1, 	2, 	17.7486, 	12.3958, 	1, 	20, 	1.52, 	(0.0835206,-0.0242283);
19:24:38.877, 	1, 	1, 	18.501, 	16.5558, 	0, 	20, 	1.52, 	(-0.236443,-0.263567);(0.212845,-0.296222);(0.2193,-0.0982715);(0.260226,0.0133864);
