slot,id,beam,CRC,SNR
0,101,10,1,43.0486
0,101,10,1,42.9709
0,101,10,1,43.3945
0,101,10,1,42.1235
0,101,10,1,43.0864
0,101,10,1,43.7882
0,101,10,1,43.9257
0,101,10,1,42.7277
0,101,10,1,43.6545
0,101,10,1,42.7098
0,101,10,1,42.3149
0,101,10,1,42.3858
0,101,11,1,43.6710
0,101,11,1,43.9261
0,101,11,1,43.9174
0,101,11,1,42.3035
0,101,11,1,42.8031
0,101,11,1,41.6079
0,101,11,1,43.7195
0,101,11,1,43.8570
0,101,11,1,43.9445
0,101,11,1,43.1918
0,101,11,1,43.1043
0,101,11,1,42.2432
0,101,11,0,44.4478
0,101,11,1,43.4503
0,101,11,1,44.1519
0,101,11,1,43.3913
0,101,11,1,42.9717
0,101,11,1,43.5780
0,101,11,1,43.5057
0,101,11,0,43.8539
0,101,11,1,43.1297
0,101,11,1,45.1903
0,101,11,1,43.5274
0,101,11,1,44.2542
0,101,11,1,43.3975
0,101,11,1,42.4528
0,101,11,1,43.4716
0,101,11,1,43.2989
0,101,11,1,43.3136
0,101,11,1,42.8189
0,101,11,1,43.8013
0,101,11,1,43.3933
0,101,11,1,43.2688
0,101,11,1,42.0620
0,101,11,1,42.4268
0,101,11,1,43.1715
0,101,11,1,43.5446
0,101,11,1,43.7342
0,101,11,1,43.1736
0,101,11,1,44.0296
0,101,11,1,42.7693
0,101,11,1,43.5625
0,101,11,1,43.2265
0,101,11,1,44.7397
0,101,11,1,43.7973
0,101,11,1,45.3124
0,101,11,1,42.9802
0,101,11,1,44.0433
0,101,11,1,42.4207
0,101,11,1,43.4707
0,101,12,1,42.6421
0,101,12,1,43.1814
0,101,12,1,43.7362
0,101,12,1,44.0191
0,101,12,1,42.9867
0,101,12,1,43.0864
0,101,12,1,43.1367
0,101,12,1,42.8830
0,101,12,1,42.3543
0,101,12,1,42.0473
0,101,12,1,42.4877
0,101,12,1,43.4390
0,101,12,1,43.3740
0,101,12,1,44.0042
0,101,12,1,42.7135
0,101,12,1,44.2482
0,101,12,1,42.9766
0,101,12,1,44.2760
0,101,12,1,43.1621
0,101,12,1,43.0894
0,101,12,1,41.8872
0,101,12,1,43.4156
0,101,12,1,42.5490
0,101,12,1,43.2303
0,101,12,1,44.2454
0,101,12,1,42.9720
0,101,12,1,43.3464
0,101,12,1,44.2602
0,101,12,1,42.9155
0,101,12,1,44.0087
0,101,12,1,43.5043
0,101,12,1,43.0139
0,101,12,1,44.5922
0,101,12,1,43.4143
0,101,12,1,43.5055
0,101,12,1,42.9747
0,101,12,1,43.8661
0,101,12,1,43.1427
0,101,12,1,44.0476
0,101,12,1,43.7350
0,101,12,0,43.0701
0,101,12,1,43.7455
0,101,12,1,42.7483
0,101,12,1,44.9873
0,101,12,1,42.7085
0,101,12,1,43.1195
0,101,12,1,44.2655
0,101,12,0,42.5727
0,101,12,1,43.5760
0,101,12,1,42.8643
0,101,13,1,39.1183
0,101,13,1,39.1032
0,101,13,1,39.8059
0,101,13,1,38.6109
0,101,13,1,41.8568
0,101,13,1,40.5436
0,101,13,1,39.4759
0,101,13,1,39.0754
0,101,13,1,39.9651
0,101,13,1,39.3262
0,101,13,1,40.1096
0,101,13,1,39.5613
0,101,13,1,39.4145
0,101,13,1,39.5934
0,101,13,1,39.4700
0,101,13,1,40.2567
0,101,13,1,38.9789
0,101,13,1,39.7758
0,101,13,1,40.7531
0,101,13,1,39.4586
0,101,13,1,39.8608
0,101,13,1,39.2141
0,101,13,1,40.1341
0,101,13,1,40.4007
0,101,13,1,39.8835
0,101,13,1,39.7208
0,101,13,1,40.7637
0,101,13,1,40.3845
0,101,13,1,38.6540
0,101,13,1,41.6059
0,101,13,1,39.4576
0,101,13,1,42.3847
0,101,13,1,40.5843
0,101,13,1,39.9942
0,101,13,1,39.7882
