(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
14:37:15.780, 	1, 	2, 	21.3644, 	24.8156, 	1, 	-1.249e-14, 	3.04, 	(0.502366,-0.707245);
14:37:15.800, 	1, 	2, 	28.3172, 	25.5078, 	1, 	-1.249e-14, 	3.04, 	(-0.663866,-0.190749);
14:37:15.820, 	1, 	2, 	28.1306, 	25.0627, 	1, 	-1.249e-14, 	3.04, 	(-0.105082,-0.563037);
14:37:15.840, 	1, 	2, 	27.1958, 	26.1874, 	1, 	-1.249e-14, 	3.04, 	(-0.0887307,0.413736);
14:37:15.860, 	1, 	2, 	22.1142, 	25.7744, 	1, 	-1.249e-14, 	3.04, 	(0.53193,-0.70582);
14:37:15.881, 	1, 	2, 	28.031, 	26.1722, 	1, 	-1.249e-14, 	3.04, 	(0.286125,-0.550231);
14:37:15.902, 	1, 	2, 	29.6479, 	26.6564, 	1, 	-1.249e-14, 	3.04, 	(0.859423,-0.083591);
14:37:15.921, 	1, 	2, 	31.1349, 	25.7018, 	1, 	-1.249e-14, 	3.04, 	(-0.502884,-0.614407);
14:37:15.941, 	1, 	2, 	28.847, 	25.3442, 	1, 	-1.249e-14, 	3.04, 	(0.417058,0.548293);
14:37:15.961, 	1, 	2, 	27.143, 	25.498, 	1, 	-1.249e-14, 	3.04, 	(-0.492973,-0.244329);
14:37:15.981, 	1, 	2, 	31.2158, 	26.1065, 	1, 	-1.249e-14, 	3.04, 	(-0.628527,0.537698);
14:37:16.002, 	1, 	2, 	23.9115, 	26.1399, 	1, 	-1.249e-14, 	3.04, 	(-0.424555,-0.781646);
14:37:16.022, 	1, 	2, 	27.6674, 	24.9887, 	1, 	-1.249e-14, 	3.04, 	(0.540318,0.163546);
14:37:16.042, 	1, 	2, 	30.1326, 	26.6826, 	1, 	-1.249e-14, 	3.04, 	(-0.326333,0.771291);
14:37:16.062, 	1, 	2, 	23.1983, 	25.6057, 	1, 	-1.249e-14, 	3.04, 	(-0.856164,-0.286603);
14:37:16.082, 	1, 	2, 	28.6149, 	26.0204, 	1, 	-1.249e-14, 	3.04, 	(-0.554222,-0.362265);
14:37:16.102, 	1, 	2, 	29.6612, 	26.7515, 	1, 	-1.249e-14, 	3.04, 	(0.884158,0.0704875);
14:37:16.122, 	1, 	2, 	30.2751, 	25.6737, 	1, 	-1.249e-14, 	3.04, 	(0.377083,0.718155);
14:37:16.142, 	1, 	2, 	29.3175, 	26.0619, 	1, 	-1.249e-14, 	3.04, 	(-0.59088,-0.365155);
14:37:16.162, 	1, 	2, 	28.7799, 	26.7095, 	1, 	-1.249e-14, 	3.04, 	(-0.306261,0.479944);
14:37:16.183, 	1, 	2, 	29.5317, 	25.8405, 	1, 	-1.249e-14, 	3.04, 	(0.127357,0.428166);
14:37:16.203, 	1, 	2, 	23.9658, 	22.8727, 	1, 	-1.249e-14, 	3.04, 	(-0.558987,-0.408679);
14:37:16.223, 	1, 	2, 	25.4606, 	27.1056, 	1, 	-1.249e-14, 	3.04, 	(-0.0524102,0.859139);
14:37:16.243, 	1, 	2, 	29.5787, 	26.6215, 	1, 	-1.249e-14, 	3.04, 	(-0.700861,-0.470668);
14:37:16.263, 	1, 	2, 	21.013, 	24.1589, 	1, 	-1.249e-14, 	3.04, 	(-0.574186,0.637013);
