(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:57:20.797, 	0, 	1, 	14.6858, 	8.64326, 	1, 	36, 	0.912, 	(-0.270661,-0.123698);(0.265936,0.460965);(-0.978576,-0.548726);(0.978622,-0.254225);
18:57:20.842, 	1, 	2, 	12.959, 	24.0805, 	1, 	40, 	0.912, 	(0.398479,0.437988);
18:57:20.856, 	0, 	1, 	14.4911, 	7.42139, 	1, 	40, 	0.912, 	(0.184981,-0.75654);(-0.439757,0.923562);(-0.0648472,-1.49187);(0.938599,0.882412);
18:57:20.882, 	1, 	2, 	14.2085, 	22.6497, 	1, 	44, 	1.216, 	(-0.380599,0.4057);
18:57:20.916, 	1, 	1, 	14.2463, 	9.24185, 	0, 	40, 	1.216, 	(0.182549,0.297671);(-1.25115,0.529623);(1.02173,-0.164106);(-0.0468694,0.663188);
18:57:20.976, 	1, 	1, 	13.7579, 	10.6646, 	0, 	36, 	1.216, 	(-0.487194,-0.434067);(1.18728,-0.79113);(-1.18728,0.79113);(-0.487194,-0.434067);
18:57:21.024, 	1, 	2, 	15.1591, 	21.1032, 	1, 	32, 	1.216, 	(0.122597,0.519407);
18:57:21.037, 	0, 	1, 	15.2343, 	9.42168, 	1, 	32, 	1.216, 	(0.277892,0.896801);(-0.220745,-1.28133);(1.18246,1.20824);(-1.32477,-0.155505);
18:57:21.078, 	1, 	1, 	15.3117, 	8.69282, 	0, 	28, 	1.216, 	(-1.08119,0.0520737);(1.59831,0.0787922);(-1.15167,0.846252);(0.349144,-1.16266);
18:57:21.097, 	0, 	1, 	15.4754, 	10.404, 	0, 	28, 	1.216, 	(0.939412,-0.674714);(-1.28374,0.897904);(0.328678,-1.30884);(0.431101,1.06958);
18:57:21.139, 	0, 	1, 	14.3521, 	6.57046, 	0, 	28, 	0.912, 	(-0.615674,-0.882562);(0.718799,1.50161);(-1.41642,-0.626812);(1.32875,-0.382278);
18:57:21.158, 	1, 	1, 	15.5139, 	8.301, 	0, 	28, 	0.608, 	(-0.577047,-0.483219);(0.701255,0.734629);(-1.63717,-0.369895);(1.23291,-0.675664);
18:57:21.185, 	1, 	2, 	15.789, 	21.4186, 	1, 	28, 	0.912, 	(0.568698,0.202822);
18:57:21.199, 	1, 	1, 	17.0582, 	9.98127, 	0, 	28, 	0.608, 	(0.563036,0.994637);(-0.819797,-1.33606);(0.956652,0.278765);(-0.812291,0.313212);
18:57:21.218, 	0, 	1, 	17.2126, 	11.5948, 	0, 	28, 	0.608, 	(-0.177493,0.518338);(0.491082,-0.738555);(0.0370538,1.57958);(-0.917979,-0.968933);
