(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
17:53:00.541, 	1, 	1, 	23.2947, 	20.9411, 	0, 	44, 	0.912, 	(-0.680451,-0.0697102);(-0.121745,0.675426);(-0.53626,-0.171911);(0.0613483,0.491273);
17:53:00.570, 	1, 	2, 	16.8511, 	17.0532, 	1, 	44, 	1.216, 	(0.0362303,0.144776);
17:53:00.590, 	0, 	2, 	22.3008, 	15.8705, 	1, 	44, 	1.216, 	(-0.0168797,0.0759657);
17:53:00.611, 	1, 	2, 	18.4054, 	18.8337, 	1, 	40, 	1.52, 	(-0.125535,0.191722);
17:53:00.625, 	1, 	1, 	22.7114, 	17.9364, 	0, 	40, 	1.216, 	(-0.348239,-0.0183265);(-0.332288,0.733036);(-0.0758241,0.145126);(0.103752,0.303396);
17:53:00.641, 	1, 	1, 	18.6569, 	14.8062, 	0, 	40, 	0.912, 	(-0.427692,-0.325537);(0.518651,-0.287234);(-0.231335,-0.262277);(-0.130444,-0.151442);
17:53:00.671, 	1, 	2, 	17.8646, 	18.9807, 	1, 	40, 	0.912, 	(-0.0151063,-0.215123);
17:53:00.691, 	1, 	2, 	22.2494, 	18.9768, 	1, 	40, 	1.216, 	(0.0978183,0.0503093);
17:53:00.711, 	1, 	2, 	19.8255, 	14.7416, 	1, 	36, 	1.52, 	(0.0981669,-0.0110573);
17:53:00.731, 	1, 	2, 	20.9886, 	20.603, 	1, 	32, 	1.824, 	(0.217259,-0.171828);
17:53:00.752, 	0, 	2, 	14.5627, 	15.8398, 	1, 	32, 	1.824, 	(0.00797039,-0.0697272);
17:53:00.765, 	1, 	2, 	20.9302, 	20.2993, 	1, 	28, 	1.824, 	(-0.179584,0.0848488);
17:53:00.781, 	1, 	1, 	17.135, 	14.2889, 	0, 	24, 	1.824, 	(0.137805,-0.593477);(0.261761,0.342099);(0.210201,-0.527323);(0.137381,-0.100221);
17:53:00.802, 	1, 	2, 	22.7456, 	14.3497, 	1, 	24, 	1.824, 	(0.0968677,0.0345945);
17:53:00.822, 	0, 	2, 	20.2258, 	15.7478, 	1, 	24, 	1.824, 	(0.0687891,0.0378422);
17:53:00.842, 	1, 	1, 	22.0061, 	15.6647, 	0, 	24, 	1.824, 	(0.403194,0.0861306);(0.329942,-0.632501);(0.0146453,-0.162232);(-0.404375,-0.373022);
17:53:00.862, 	1, 	1, 	15.7995, 	20.4287, 	0, 	20, 	1.52, 	(-0.334643,0.164766);(-0.0747687,-0.193054);(-0.226355,0.100948);(-0.001605,0.149784);
17:53:00.883, 	0, 	2, 	12.4388, 	8.83127, 	0, 	20, 	1.52, 	(0.000576105,-0.0356239);
17:53:00.903, 	0, 	2, 	19.3586, 	12.3925, 	0, 	24, 	1.216, 	(0.0627636,0.0262152);
17:53:00.922, 	1, 	1, 	23.2717, 	19.2511, 	0, 	28, 	0.608, 	(0.178436,0.510218);(0.22947,0.257953);(0.204093,0.0536724);(0.10154,-0.1079);
17:53:00.943, 	1, 	1, 	21.9433, 	20.242, 	0, 	28, 	0.608, 	(0.0686076,0.087267);(-0.415858,0.0429565);(0.461698,0.469894);(0.114449,0.600117);
17:53:00.963, 	1, 	2, 	25.1807, 	21.0365, 	1, 	28, 	0.608, 	(0.0274603,0.18367);
17:53:00.983, 	1, 	2, 	24.346, 	19.4643, 	1, 	24, 	0.912, 	(-0.192173,0.0830155);
17:53:01.003, 	0, 	2, 	22.8418, 	19.5717, 	1, 	24, 	0.912, 	(0.0873396,-0.244537);
17:53:01.024, 	1, 	2, 	22.5235, 	18.3826, 	1, 	24, 	0.912, 	(-0.216767,0.0363526);
17:53:01.043, 	1, 	1, 	27.4197, 	22.0944, 	0, 	24, 	0.912, 	(0.280021,0.998824);(1.14999,0.318309);(0.269477,-0.0869327);(0.369487,-0.886114);
17:53:01.064, 	1, 	2, 	20.6231, 	18.1351, 	1, 	24, 	1.216, 	(0.0276078,0.195681);
17:53:01.084, 	1, 	2, 	23.5246, 	18.6058, 	1, 	20, 	1.52, 	(0.166934,-0.0660208);
17:53:01.104, 	0, 	2, 	20.1212, 	18.0643, 	1, 	20, 	1.52, 	(-0.203027,-0.0958918);
17:53:01.123, 	1, 	1, 	22.692, 	21.1807, 	0, 	24, 	1.52, 	(0.364945,0.476018);(-0.162327,0.855638);(0.702469,-0.0531504);(0.0218405,-0.402923);
17:53:01.143, 	1, 	1, 	22.8293, 	15.7849, 	0, 	24, 	1.52, 	(0.543856,0.603519);(1.25103,-0.276468);(-0.0597617,-0.635291);(-0.131732,-0.970561);
17:53:01.165, 	1, 	2, 	23.0581, 	20.1522, 	1, 	24, 	1.52, 	(0.176574,0.233448);
17:53:01.185, 	1, 	2, 	28.4861, 	23.9176, 	1, 	24, 	1.52, 	(-0.14986,-0.374849);
17:53:01.205, 	1, 	2, 	20.3315, 	21.2143, 	1, 	24, 	1.824, 	(0.155378,-0.35006);
17:53:01.225, 	0, 	2, 	26.1347, 	11.8529, 	1, 	24, 	1.824, 	(0.0482431,-0.0214997);
17:53:01.245, 	1, 	2, 	29.1797, 	20.7861, 	1, 	24, 	1.824, 	(0.238978,0.172634);
17:53:01.264, 	1, 	1, 	29.2537, 	27.2692, 	0, 	24, 	1.52, 	(-0.186588,1.08489);(-1.28961,1.59312);(1.89902,1.17986);(0.581758,-1.26849);
17:53:01.285, 	1, 	2, 	30.0944, 	26.6443, 	1, 	24, 	1.52, 	(0.947222,0.232083);
17:53:01.306, 	1, 	2, 	31.6188, 	24.3403, 	1, 	24, 	1.824, 	(0.202121,-0.80061);
17:53:01.327, 	1, 	2, 	24.2121, 	17.5006, 	1, 	20, 	2.128, 	(0.103537,0.112351);
17:53:01.346, 	1, 	2, 	32.5881, 	22.6625, 	1, 	20, 	2.432, 	(0.0717832,-0.360318);
17:53:01.366, 	1, 	2, 	26.1879, 	21.647, 	1, 	20, 	2.432, 	(-0.0568572,-0.231933);
17:53:01.386, 	0, 	2, 	26.3208, 	16.6454, 	1, 	20, 	2.432, 	(0.0556164,0.0389417);
17:53:01.406, 	1, 	2, 	20.0284, 	20.7685, 	1, 	16, 	2.128, 	(0.0602118,0.286338);
17:53:01.424, 	1, 	1, 	21.7359, 	18.6905, 	0, 	16, 	2.128, 	(-1.1038,0.479437);(-0.135172,0.080195);(-1.52676,0.947395);(2.68491,0.784143);
17:53:01.446, 	1, 	2, 	23.411, 	25.1593, 	1, 	16, 	2.128, 	(-0.585179,-0.170778);
17:53:01.467, 	1, 	2, 	30.5761, 	24.9686, 	1, 	16, 	2.432, 	(-0.607001,-0.286395);
17:53:01.487, 	1, 	2, 	23.5103, 	25.0103, 	1, 	16, 	2.432, 	(-0.386194,-0.606022);
17:53:01.511, 	1, 	2, 	19.396, 	23.1362, 	1, 	12, 	2.432, 	(0.445384,-0.321674);
17:53:01.527, 	1, 	2, 	22.7049, 	20.7166, 	1, 	12, 	2.432, 	(0.134036,-0.303933);
17:53:01.547, 	1, 	2, 	20.5812, 	23.8951, 	1, 	12, 	2.432, 	(-0.146187,0.482242);
17:53:01.567, 	1, 	2, 	21.3621, 	23.3618, 	1, 	12, 	2.432, 	(-0.650785,-0.330016);
17:53:01.588, 	1, 	2, 	26.6201, 	26.1235, 	1, 	12, 	2.736, 	(-0.57296,-0.300172);
17:53:01.608, 	1, 	2, 	18.7588, 	24.3978, 	1, 	8, 	2.736, 	(0.64603,-1.10111);
17:53:01.628, 	0, 	2, 	22.2107, 	22.5979, 	1, 	8, 	2.736, 	(0.124977,0.502819);
17:53:01.648, 	1, 	2, 	16.9657, 	22.5793, 	1, 	12, 	2.736, 	(-0.405362,0.212839);
17:53:01.666, 	1, 	1, 	26.7324, 	20.5064, 	0, 	12, 	2.432, 	(-1.1654,-1.02168);(-1.22442,1.26079);(1.01432,0.0189093);(0.0276647,0.412348);
17:53:01.688, 	1, 	2, 	26.0313, 	15.348, 	1, 	12, 	2.432, 	(0.0899101,-0.102499);
17:53:01.709, 	0, 	2, 	25.6751, 	13.4395, 	1, 	12, 	2.432, 	(-0.041934,0.0360449);
17:53:01.729, 	1, 	2, 	18.5026, 	18.8022, 	1, 	12, 	2.128, 	(-0.234608,-0.0421949);
17:53:01.746, 	1, 	1, 	22.0704, 	18.5112, 	0, 	12, 	1.824, 	(-0.00502843,-0.639276);(-0.749456,-0.497334);(-0.56809,1.22311);(0.940513,-0.0586651);
17:53:01.769, 	1, 	2, 	26.8841, 	24.0408, 	1, 	12, 	1.824, 	(0.156881,0.278387);
17:53:01.789, 	1, 	2, 	18.8602, 	19.2213, 	1, 	12, 	1.824, 	(-0.128252,0.0151592);
17:53:01.809, 	1, 	2, 	24.9873, 	22.2345, 	1, 	12, 	1.824, 	(-0.38299,-0.127493);
17:53:01.830, 	1, 	2, 	17.2682, 	23.5659, 	1, 	12, 	2.128, 	(-0.552813,-0.282195);
17:53:01.850, 	1, 	2, 	26.4196, 	24.4576, 	1, 	12, 	2.128, 	(0.142033,-0.520814);
17:53:01.870, 	1, 	2, 	20.7778, 	14.779, 	1, 	12, 	2.432, 	(-0.0343575,-0.0147801);
17:53:01.891, 	1, 	2, 	26.2766, 	22.3534, 	1, 	8, 	2.432, 	(-0.232674,-0.256627);
17:53:01.910, 	1, 	2, 	15.5946, 	23.4406, 	1, 	8, 	2.736, 	(0.171135,-0.22736);
17:53:01.930, 	1, 	2, 	18.4499, 	20.1315, 	1, 	8, 	2.736, 	(0.337426,-0.10117);
17:53:01.950, 	1, 	2, 	24.1622, 	22.9825, 	1, 	8, 	3.04, 	(0.17241,-0.182417);
17:53:01.971, 	0, 	2, 	26.2387, 	17.9278, 	1, 	8, 	3.04, 	(0.301866,0.104682);
17:53:01.991, 	1, 	2, 	19.593, 	21.3189, 	1, 	12, 	2.736, 	(0.366642,0.0132373);
17:53:02.007, 	1, 	1, 	25.1338, 	19.1904, 	0, 	12, 	2.432, 	(0.839149,-0.721004);(-0.877198,-1.02318);(0.134173,0.737709);(-0.28884,-0.318576);
17:53:02.031, 	1, 	2, 	20.7694, 	21.1398, 	1, 	12, 	2.432, 	(0.161558,-0.271381);
17:53:02.051, 	1, 	2, 	22.2631, 	22.3512, 	1, 	12, 	2.432, 	(-0.379142,0.239382);
17:53:02.071, 	1, 	2, 	28.5563, 	26.6097, 	1, 	12, 	2.432, 	(-0.7263,0.46571);
17:53:02.091, 	1, 	2, 	29.4391, 	26.3808, 	1, 	12, 	2.432, 	(-1.20812,0.00872742);
17:53:02.111, 	1, 	2, 	31.3739, 	26.1862, 	1, 	12, 	2.432, 	(-1.2208,-0.392722);
17:53:02.132, 	1, 	2, 	29.0568, 	26.4206, 	1, 	8, 	2.432, 	(-0.995061,0.709181);
17:53:02.152, 	0, 	2, 	29.7148, 	20.6104, 	1, 	8, 	2.432, 	(0.173469,0.0423089);
17:53:02.172, 	1, 	2, 	18.7671, 	11.13, 	1, 	12, 	2.432, 	(-0.0333987,-0.0792361);
17:53:02.188, 	1, 	1, 	19.8677, 	18.3446, 	0, 	12, 	2.128, 	(0.14885,-0.829466);(-0.540863,-0.575591);(0.540863,0.575591);(0.14885,-0.829466);
17:53:02.212, 	1, 	2, 	24.1367, 	24.4722, 	1, 	8, 	2.432, 	(-0.397093,-0.259985);
17:53:02.232, 	1, 	2, 	21.0412, 	24.402, 	1, 	8, 	2.432, 	(0.0924851,-0.459277);
17:53:02.252, 	1, 	2, 	17.4157, 	20.5743, 	1, 	8, 	2.432, 	(-0.0504597,-0.278265);
17:53:02.273, 	1, 	2, 	23.9018, 	24.9246, 	1, 	8, 	2.432, 	(0.117953,0.469589);
17:53:02.293, 	1, 	2, 	17.3637, 	21.0877, 	1, 	8, 	2.432, 	(-0.451138,0.335761);
17:53:02.313, 	1, 	2, 	20.4857, 	24.0035, 	1, 	8, 	2.432, 	(-0.817455,0.692496);
17:53:02.333, 	1, 	2, 	25.3148, 	27.0676, 	1, 	8, 	2.432, 	(0.739597,1.11475);
17:53:02.353, 	1, 	2, 	28.1906, 	25.9362, 	1, 	8, 	2.736, 	(-0.238183,0.720603);
17:53:02.373, 	1, 	2, 	21.561, 	25.5798, 	1, 	8, 	2.736, 	(1.20476,-0.660365);
17:53:02.393, 	1, 	2, 	26.0828, 	20.8816, 	1, 	8, 	3.04, 	(0.0963253,-0.380987);
17:53:02.414, 	1, 	2, 	28.4241, 	20.191, 	1, 	8, 	3.04, 	(-0.213686,-0.02898);
17:53:02.434, 	1, 	2, 	22.5486, 	24.3292, 	1, 	8, 	3.04, 	(-0.763212,-0.242524);
17:53:02.454, 	1, 	2, 	25.3559, 	25.8937, 	1, 	8, 	3.04, 	(0.754296,-0.265154);
17:53:02.474, 	1, 	2, 	19.3337, 	19.8322, 	1, 	4, 	3.04, 	(0.350395,0.132831);
17:53:02.494, 	1, 	2, 	21.9492, 	24.1175, 	1, 	4, 	3.04, 	(-0.353218,-0.0351093);
17:53:02.519, 	1, 	2, 	23.6291, 	23.9052, 	1, 	4, 	3.04, 	(-0.328212,0.268074);
17:53:02.535, 	1, 	2, 	23.9297, 	25.2792, 	1, 	4, 	3.04, 	(0.465633,0.201051);
17:53:02.555, 	1, 	2, 	25.0354, 	24.0856, 	1, 	4, 	3.04, 	(-0.203644,0.390945);
17:53:02.575, 	1, 	2, 	24.1046, 	24.0376, 	1, 	4, 	3.04, 	(-0.440747,-0.0593138);
17:53:02.595, 	1, 	2, 	21.6969, 	23.2684, 	1, 	4, 	3.04, 	(-0.183483,-0.290497);
17:53:02.615, 	1, 	2, 	20.8471, 	22.8777, 	1, 	4, 	3.04, 	(0.332709,-0.340983);
17:53:02.635, 	1, 	2, 	19.8819, 	23.2074, 	1, 	4, 	3.04, 	(0.083252,0.402702);
