(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
17:07:23.520, 	1, 	2, 	23.7001, 	24.3438, 	1, 	9.71445e-15, 	3.04, 	(0.327174,0.0480049);
17:07:23.544, 	1, 	2, 	25.0887, 	24.9362, 	1, 	9.71445e-15, 	3.04, 	(0.176877,0.476739);
17:07:23.561, 	1, 	2, 	23.6908, 	24.8095, 	1, 	9.71445e-15, 	3.04, 	(0.546161,0.198744);
17:07:23.581, 	1, 	2, 	24.5498, 	24.0608, 	1, 	9.71445e-15, 	3.04, 	(-0.247275,-0.248071);
17:07:23.602, 	1, 	2, 	25.1835, 	23.7941, 	1, 	9.71445e-15, 	3.04, 	(-0.439747,-0.196748);
17:07:23.622, 	1, 	2, 	22.5149, 	24.1763, 	1, 	9.71445e-15, 	3.04, 	(-0.321138,-0.349676);
17:07:23.641, 	1, 	2, 	23.7791, 	25.1767, 	1, 	9.71445e-15, 	3.04, 	(0.467556,0.0906899);
17:07:23.663, 	1, 	2, 	24.5944, 	24.4741, 	1, 	9.71445e-15, 	3.04, 	(0.0852972,-0.462967);
17:07:23.682, 	1, 	2, 	20.697, 	23.5682, 	1, 	9.71445e-15, 	3.04, 	(-0.286418,-0.423152);
17:07:23.702, 	1, 	2, 	25.6556, 	24.769, 	1, 	9.71445e-15, 	3.04, 	(-0.253798,0.396583);
17:07:23.722, 	1, 	2, 	25.0519, 	24.8189, 	1, 	9.71445e-15, 	3.04, 	(0.592181,-0.0782225);
17:07:23.744, 	1, 	2, 	25.2061, 	24.9249, 	1, 	9.71445e-15, 	3.04, 	(0.188937,-0.260163);
17:07:23.765, 	1, 	2, 	26.532, 	26.1431, 	1, 	9.71445e-15, 	3.04, 	(-0.356642,-0.322345);
17:07:23.783, 	1, 	2, 	26.4015, 	25.2424, 	1, 	9.71445e-15, 	3.04, 	(0.71095,0.216018);
17:07:23.803, 	1, 	2, 	29.6389, 	23.7629, 	1, 	9.71445e-15, 	3.04, 	(0.410618,-0.14751);
17:07:23.823, 	1, 	2, 	27.2791, 	23.1774, 	1, 	9.71445e-15, 	3.04, 	(0.268669,-0.317171);
17:07:23.843, 	0, 	2, 	28.9953, 	24.2232, 	1, 	9.71445e-15, 	3.04, 	(-0.245486,0.250227);
17:07:23.863, 	0, 	2, 	27.6638, 	26.0145, 	0, 	4, 	2.736, 	(0.16211,-0.239464);
17:07:23.877, 	1, 	1, 	28.9934, 	25.3286, 	0, 	8, 	2.128, 	(-0.319033,1.50621);(-1.82503,-0.104761);(-0.877882,-0.815737);(-0.253636,-1.34754);
17:07:23.894, 	1, 	1, 	26.2642, 	22.1492, 	0, 	8, 	1.824, 	(0.460923,-1.23948);(1.85762,0.444102);(1.16368,1.78723);(0.0501232,2.29932);
17:07:23.924, 	1, 	2, 	25.8574, 	23.3767, 	1, 	8, 	1.824, 	(0.260025,0.407332);
17:07:23.944, 	1, 	2, 	28.5422, 	23.9481, 	1, 	8, 	1.824, 	(0.054865,-0.451442);
17:07:23.964, 	1, 	2, 	27.6288, 	23.6516, 	1, 	8, 	1.824, 	(-0.402662,-0.0260281);
17:07:23.984, 	1, 	2, 	26.748, 	24.1865, 	1, 	8, 	1.824, 	(0.342296,-0.0303693);
17:07:24.004, 	1, 	2, 	26.2977, 	24.4494, 	1, 	8, 	1.824, 	(0.196776,-0.195571);
17:07:24.024, 	1, 	2, 	26.7358, 	24.6283, 	1, 	8, 	1.824, 	(0.139955,-0.384235);
17:07:24.045, 	1, 	2, 	27.2812, 	23.693, 	1, 	8, 	2.128, 	(0.134167,0.330189);
17:07:24.065, 	1, 	2, 	25.6565, 	23.9315, 	1, 	8, 	2.432, 	(-0.206473,0.222215);
17:07:24.085, 	1, 	2, 	25.1631, 	23.1464, 	1, 	8, 	2.736, 	(0.206354,0.124999);
17:07:24.105, 	1, 	2, 	27.1561, 	23.0322, 	1, 	8, 	3.04, 	(0.157372,-0.3287);
17:07:24.125, 	1, 	2, 	23.3826, 	24.4074, 	1, 	8, 	3.04, 	(-0.344506,0.211396);
