(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
12:27:46.342, 	1, 	2, 	12.4456, 	14.6089, 	1, 	52, 	2.128, 	(0.00206356,-0.0957104);
12:27:46.362, 	1, 	2, 	13.8773, 	17.6913, 	1, 	48, 	2.432, 	(0.125167,-0.0738659);
12:27:46.382, 	1, 	2, 	14.2316, 	19.4496, 	1, 	44, 	2.432, 	(-0.0933894,-0.19743);
12:27:46.405, 	0, 	2, 	11.7197, 	13.3038, 	1, 	44, 	2.432, 	(-0.0172761,0.0774629);
12:27:46.422, 	1, 	2, 	14.8723, 	20.7038, 	1, 	40, 	2.736, 	(-0.141775,0.169372);
12:27:46.443, 	1, 	2, 	12.9125, 	16.8313, 	1, 	36, 	2.736, 	(-0.00784199,0.0666752);
12:27:46.462, 	1, 	2, 	13.6956, 	16.9592, 	1, 	32, 	2.736, 	(-0.114823,0.0562555);
12:27:46.482, 	1, 	2, 	13.4296, 	18.6889, 	1, 	28, 	2.736, 	(0.215998,0.030044);
12:27:46.502, 	1, 	2, 	11.5376, 	14.7008, 	1, 	24, 	2.736, 	(0.0640271,0.100908);
12:27:46.523, 	1, 	2, 	14.1769, 	18.6184, 	1, 	20, 	2.736, 	(0.0547059,-0.13229);
12:27:46.543, 	1, 	2, 	11.9767, 	16.1727, 	1, 	16, 	2.736, 	(0.122164,0.0275201);
12:27:46.563, 	1, 	2, 	13.4897, 	19.2715, 	1, 	16, 	2.736, 	(-0.230385,0.0155208);
12:27:46.583, 	0, 	2, 	12.7031, 	15.9207, 	1, 	16, 	2.736, 	(0.0753429,0.0315762);
12:27:46.605, 	1, 	2, 	13.6977, 	19.8707, 	1, 	20, 	2.736, 	(-0.141876,0.176718);
12:27:46.623, 	1, 	2, 	15.2913, 	17.1024, 	1, 	20, 	2.736, 	(-0.0605306,-0.0649519);
12:27:46.643, 	1, 	2, 	14.6756, 	12.8304, 	1, 	20, 	2.736, 	(0.0793915,-0.0878542);
12:27:46.663, 	1, 	2, 	14.843, 	19.3344, 	1, 	16, 	2.736, 	(-0.0335759,0.229753);
12:27:46.683, 	1, 	2, 	15.7848, 	18.2094, 	1, 	16, 	2.736, 	(-0.0952989,-0.088806);
12:27:46.704, 	0, 	2, 	15.0028, 	15.2067, 	1, 	16, 	2.736, 	(-0.0538112,0.0445577);
12:27:46.723, 	1, 	2, 	15.536, 	16.8945, 	1, 	12, 	2.432, 	(-0.131796,0.015894);
12:27:46.743, 	1, 	2, 	14.9419, 	16.6751, 	1, 	12, 	2.432, 	(0.116914,0.0174536);
12:27:46.763, 	1, 	2, 	15.1068, 	11.8772, 	1, 	12, 	2.432, 	(0.0419701,-0.000821792);
12:27:46.784, 	1, 	2, 	14.9321, 	16.5072, 	1, 	12, 	2.736, 	(0.0479386,-0.0365018);
12:27:46.804, 	0, 	2, 	15.1494, 	15.1959, 	1, 	12, 	2.736, 	(0.122594,0.010799);
12:27:46.824, 	0, 	2, 	15.9334, 	15.8989, 	0, 	16, 	2.432, 	(0.0804165,-0.0532069);
12:27:46.844, 	0, 	2, 	15.6009, 	12.922, 	0, 	20, 	2.128, 	(-0.0936134,-0.0522676);
12:27:46.864, 	0, 	2, 	15.6447, 	11.5808, 	0, 	24, 	1.824, 	(-0.0526357,-0.0122006);
12:27:46.884, 	1, 	2, 	15.6139, 	15.7988, 	1, 	28, 	1.52, 	(0.0403658,-0.110085);
12:27:46.904, 	0, 	2, 	14.7516, 	11.9787, 	1, 	28, 	1.52, 	(0.0108289,0.0809368);
12:27:46.924, 	0, 	2, 	16.8163, 	16.0159, 	0, 	28, 	1.52, 	(0.0161411,-0.102404);
12:27:46.945, 	0, 	2, 	15.8719, 	9.25956, 	0, 	32, 	1.216, 	(0.0186373,-0.0525531);
12:27:46.964, 	0, 	2, 	14.9659, 	11.7406, 	0, 	36, 	0.912, 	(-0.0477461,-0.027125);
12:27:46.984, 	0, 	2, 	15.1668, 	8.99538, 	0, 	40, 	0.608, 	(0.0613495,-0.0112208);
12:27:47.005, 	0, 	2, 	15.8763, 	8.21007, 	0, 	44, 	0.304, 	(0.055757,0.00422823);
12:27:47.025, 	0, 	2, 	15.4116, 	8.75847, 	0, 	48, 	0.304, 	(-0.0507422,0.0164195);
12:27:47.045, 	0, 	2, 	16.1499, 	9.21047, 	0, 	52, 	0.304, 	(0.00889103,0.0684457);
12:27:47.065, 	0, 	2, 	16.2559, 	10.0473, 	0, 	56, 	0.304, 	(-0.00521388,0.066194);
12:27:47.085, 	0, 	2, 	18.3165, 	10.3319, 	0, 	60, 	0.304, 	(0.0687344,-0.0441172);
12:27:47.105, 	0, 	2, 	18.213, 	8.40786, 	0, 	60, 	-7.10543e-17, 	(-0.022096,-0.0462932);
12:27:47.125, 	0, 	2, 	16.512, 	11.0424, 	0, 	64, 	-7.10543e-17, 	(-0.0628198,0.0275374);
12:27:47.145, 	0, 	2, 	15.3323, 	9.72522, 	0, 	68, 	-7.10543e-17, 	(-0.0290545,-0.0586087);
12:27:47.165, 	0, 	2, 	16.043, 	7.68553, 	0, 	72, 	-7.10543e-17, 	(-0.0519424,-0.00364956);
12:27:47.185, 	0, 	2, 	16.5367, 	10.525, 	0, 	76, 	-7.10543e-17, 	(0.0728983,0.00572701);
12:27:47.206, 	0, 	2, 	17.6292, 	9.6785, 	0, 	80, 	-7.10543e-17, 	(0.0691283,0.0130514);
12:27:47.226, 	0, 	2, 	17.4434, 	10.2556, 	0, 	80, 	-7.10543e-17, 	(-0.0367464,-0.047401);
12:27:47.246, 	0, 	2, 	18.1934, 	10.3659, 	0, 	84, 	-7.10543e-17, 	(-0.0556865,-0.0222299);
12:27:47.267, 	0, 	2, 	18.4254, 	9.55526, 	0, 	88, 	-7.10543e-17, 	(0.00456753,0.0494803);
12:27:47.287, 	0, 	2, 	16.4398, 	7.68997, 	0, 	92, 	-7.10543e-17, 	(0.0610637,0.00185266);
12:27:47.306, 	0, 	2, 	18.7917, 	9.87389, 	0, 	96, 	-7.10543e-17, 	(-0.0579487,0.05);
