(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:06:04.102, 	1, 	2, 	23.3988, 	24.4617, 	1, 	-1.38778e-15, 	3.04, 	(0.342306,-0.314047);
18:06:04.122, 	1, 	2, 	17.6719, 	21.8739, 	1, 	-1.38778e-15, 	3.04, 	(-0.479288,0.371286);
18:06:04.142, 	1, 	2, 	20.9394, 	25.6101, 	1, 	-1.38778e-15, 	3.04, 	(0.409241,-0.477844);
18:06:04.162, 	1, 	2, 	23.1644, 	24.651, 	1, 	-1.38778e-15, 	3.04, 	(-0.532024,0.281034);
18:06:04.182, 	1, 	2, 	22.2654, 	24.3793, 	1, 	-1.38778e-15, 	3.04, 	(0.453141,-0.287505);
18:06:04.202, 	1, 	2, 	22.8561, 	24.0676, 	1, 	-1.38778e-15, 	3.04, 	(-0.180743,-0.45478);
18:06:04.222, 	1, 	2, 	23.2128, 	23.8106, 	1, 	-1.38778e-15, 	3.04, 	(0.474607,-0.0934632);
18:06:04.242, 	1, 	2, 	22.6728, 	26.2368, 	1, 	-1.38778e-15, 	3.04, 	(0.12128,-0.648838);
18:06:04.262, 	1, 	2, 	21.121, 	21.74, 	1, 	-1.38778e-15, 	3.04, 	(-0.495247,0.258093);
18:06:04.283, 	1, 	2, 	22.976, 	24.8258, 	1, 	-1.38778e-15, 	3.04, 	(0.49766,0.182532);
18:06:04.303, 	1, 	2, 	17.6116, 	21.6067, 	1, 	-1.38778e-15, 	3.04, 	(-0.223312,-0.513953);
18:06:04.323, 	1, 	2, 	19.0991, 	22.9955, 	1, 	-1.38778e-15, 	3.04, 	(-0.308193,-0.478258);
18:06:04.343, 	1, 	2, 	22.6467, 	23.0717, 	1, 	-1.38778e-15, 	3.04, 	(0.461,-0.347854);
18:06:04.363, 	1, 	2, 	24.4897, 	24.4062, 	1, 	-1.38778e-15, 	3.04, 	(0.428377,-0.347957);
18:06:04.383, 	1, 	2, 	24.547, 	24.8409, 	1, 	-1.38778e-15, 	3.04, 	(0.198845,0.416609);
18:06:04.404, 	1, 	2, 	25.6077, 	24.9673, 	1, 	-1.38778e-15, 	3.04, 	(0.167132,0.64669);
18:06:04.423, 	1, 	2, 	24.2313, 	24.7011, 	1, 	-1.38778e-15, 	3.04, 	(0.484837,0.381399);
18:06:04.444, 	1, 	2, 	22.3054, 	25.4513, 	1, 	-1.38778e-15, 	3.04, 	(0.686414,-0.17767);
18:06:04.464, 	1, 	2, 	23.5209, 	26.0567, 	1, 	-1.38778e-15, 	3.04, 	(0.597797,0.411975);
18:06:04.484, 	1, 	2, 	18.5932, 	23.4456, 	1, 	-1.38778e-15, 	3.04, 	(0.194094,-0.660992);
18:06:04.504, 	1, 	2, 	21.1478, 	23.8335, 	1, 	-1.38778e-15, 	3.04, 	(0.136156,0.707297);
18:06:04.524, 	1, 	2, 	22.192, 	20.6458, 	1, 	-1.38778e-15, 	3.04, 	(0.239623,0.459064);
18:06:04.545, 	1, 	2, 	23.742, 	24.1308, 	1, 	-1.38778e-15, 	3.04, 	(0.438451,0.333333);
18:06:04.565, 	1, 	2, 	23.5516, 	25.5822, 	1, 	-1.38778e-15, 	3.04, 	(0.477434,0.509682);
