 NEW RECORD - 08-21-2023 18:30:49, 	peak_power,	 snr_est,	 range,	 angle
18:30:58.183, 	364.171, 	25.7821, 	0.300587, 	-7.63215
18:30:58.183, 	364.171, 	25.7821, 	0.300587, 	-7.63215
18:30:58.383, 	59.1235, 	19.9466, 	0.450881, 	-6.72981
18:30:58.383, 	59.1235, 	19.9466, 	0.450881, 	-6.72981
18:30:58.383, 	59.1235, 	19.9466, 	0.450881, 	-6.72981
18:30:58.484, 	61.4968, 	21.3063, 	0.450881, 	-8.53639
18:30:58.484, 	61.4968, 	21.3063, 	0.450881, 	-8.53639
18:30:58.484, 	61.4968, 	21.3063, 	0.450881, 	-8.53639
18:30:58.584, 	27.6798, 	17.3379, 	3.15616, 	-56.7136
18:30:58.584, 	27.6798, 	17.3379, 	3.15616, 	-56.7136
18:30:58.584, 	27.6798, 	17.3379, 	3.15616, 	-56.7136
18:30:58.684, 	1679.29, 	31.4678, 	0, 	-38.111
18:30:58.684, 	1679.29, 	31.4678, 	0.0, 	-38.111
18:30:58.684, 	1679.29, 	31.4678, 	0.0, 	-38.111
18:30:58.784, 	3239.93, 	35.7583, 	0.150294, 	-35.8692
18:30:58.784, 	3239.93, 	35.7583, 	0.150294, 	-35.8692
18:30:58.784, 	3239.93, 	35.7583, 	0.150294, 	-35.8692
18:30:58.884, 	2325.18, 	33.6322, 	0.300587, 	-35.8692
18:30:58.884, 	2325.18, 	33.6322, 	0.300587, 	-35.8692
18:30:58.884, 	2325.18, 	33.6322, 	0.300587, 	-35.8692
18:30:58.985, 	1693.12, 	34.0592, 	0.300587, 	-34.772
18:30:58.985, 	1693.12, 	34.0592, 	0.300587, 	-34.772
18:30:58.985, 	1693.12, 	34.0592, 	0.300587, 	-34.772
18:30:59.085, 	1112.25, 	31.3257, 	0.300587, 	-35.8692
18:30:59.085, 	1112.25, 	31.3257, 	0.300587, 	-35.8692
18:30:59.085, 	1112.25, 	31.3257, 	0.300587, 	-35.8692
18:30:59.187, 	702.894, 	31.7291, 	0.300587, 	-34.772
18:30:59.187, 	702.894, 	31.7291, 	0.300587, 	-34.772
18:30:59.187, 	702.894, 	31.7291, 	0.300587, 	-34.772
18:30:59.285, 	396.064, 	28.2155, 	0.300587, 	-35.8692
18:30:59.285, 	396.064, 	28.2155, 	0.300587, 	-35.8692
18:30:59.285, 	396.064, 	28.2155, 	0.300587, 	-35.8692
18:30:59.386, 	128.937, 	21.3732, 	0.300587, 	-35.8692
18:30:59.386, 	128.937, 	21.3732, 	0.300587, 	-35.8692
18:30:59.386, 	128.937, 	21.3732, 	0.300587, 	-35.8692
18:30:59.486, 	40.1546, 	17.3015, 	0.150294, 	63.9534
18:30:59.486, 	40.1546, 	17.3015, 	0.150294, 	63.9534
18:30:59.486, 	40.1546, 	17.3015, 	0.150294, 	63.9534
18:30:59.586, 	2960.91, 	33.8575, 	0.150294, 	-34.772
18:30:59.586, 	2960.91, 	33.8575, 	0.150294, 	-34.772
18:30:59.586, 	2960.91, 	33.8575, 	0.150294, 	-34.772
18:30:59.686, 	60.3362, 	19.7495, 	0, 	-31.5631
18:30:59.686, 	60.3362, 	19.7495, 	0.0, 	-31.5631
18:30:59.686, 	60.3362, 	19.7495, 	0.0, 	-31.5631
18:30:59.787, 	164.8, 	23.705, 	0.150294, 	-36.9819
18:30:59.787, 	164.8, 	23.705, 	0.150294, 	-36.9819
18:30:59.787, 	164.8, 	23.705, 	0.150294, 	-36.9819
18:30:59.887, 	114.317, 	22.9089, 	0.150294, 	-38.111
18:30:59.887, 	114.317, 	22.9089, 	0.150294, 	-38.111
18:30:59.887, 	114.317, 	22.9089, 	0.150294, 	-38.111
18:30:59.987, 	183.936, 	25.2059, 	0.150294, 	-39.2579
18:30:59.987, 	183.936, 	25.2059, 	0.150294, 	-39.2579
18:30:59.987, 	183.936, 	25.2059, 	0.150294, 	-39.2579
18:31:00.087, 	200.288, 	26.9913, 	0.150294, 	-39.2579
18:31:00.087, 	200.288, 	26.9913, 	0.150294, 	-39.2579
18:31:00.087, 	200.288, 	26.9913, 	0.150294, 	-39.2579
18:31:00.193, 	1853.63, 	32.8822, 	0.150294, 	-36.9819
18:31:00.193, 	1853.63, 	32.8822, 	0.150294, 	-36.9819
18:31:00.238, 	1330.9, 	32.9048, 	0.300587, 	-36.9819
18:31:00.238, 	1330.9, 	32.9048, 	0.300587, 	-36.9819
18:31:00.289, 	980.228, 	30.9946, 	0.300587, 	-36.9819
18:31:00.289, 	980.228, 	30.9946, 	0.300587, 	-36.9819
18:31:00.338, 	903.772, 	30.8671, 	0.150294, 	-35.8692
18:31:00.338, 	903.772, 	30.8671, 	0.150294, 	-35.8692
18:31:00.389, 	604.619, 	31.5602, 	0.300587, 	-36.9819
18:31:00.389, 	604.619, 	31.5602, 	0.300587, 	-36.9819
18:31:00.438, 	373.361, 	27.5816, 	0.150294, 	-36.9819
18:31:00.438, 	373.361, 	27.5816, 	0.150294, 	-36.9819
