2, 	-63.9534, 	-63.9534, 	23.9718, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	23.9718, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	23.9718, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	23.9718, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	23.9718, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	23.9718, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	23.9718, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	23.9718, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	23.9718, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	23.9718, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	23.9718, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	23.9718, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	23.9718, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	23.9718, 	1, 	1.52
1, 	-63.9534, 	-63.9534, 	13.662, 	1, 	1.216
1, 	-63.9534, 	-63.9534, 	13.662, 	1, 	1.216
1, 	-63.9534, 	-63.9534, 	13.662, 	1, 	1.216
1, 	-63.9534, 	-63.9534, 	13.662, 	1, 	1.216
1, 	-63.9534, 	-63.9534, 	13.662, 	1, 	1.216
2, 	-63.9534, 	-63.9534, 	24.6558, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.6558, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.6558, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.6558, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.6558, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.6558, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.6558, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.6558, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.6558, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.6558, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.6558, 	1, 	1.52
2, 	-63.9534, 	-63.9534, 	24.6558, 	1, 	1.52
