(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);
 NEW RECORD - 08-29-2023 19:09:39time, CRC, type, snr, data_snr, data_CRC, per_val, Throughput
19:09:47.859, 	1, 	1, 	22.5657, 	13.7339, 	0, 	40, 	0, 	(-0.769851,0.44959);(1.18357,0.312899);(-1.35281,-1.15419);(1.41669,1.11466);
19:09:47.959, 	1, 	1, 	20.5917, 	13.1183, 	0, 	36, 	0, 	(-0.110489,-0.965901);(-0.805969,0.991988);(1.53789,-0.78422);(-1.55767,0.845371);
19:09:48.009, 	1, 	1, 	20.5679, 	14.1361, 	0, 	36, 	0, 	(0.856596,-0.748222);(-1.30409,-0.0459524);(1.22044,0.543566);(-1.26149,-0.503682);
19:09:48.059, 	1, 	1, 	21.4459, 	15.6444, 	0, 	32, 	0, 	(-0.738162,-0.760439);(-0.0596606,1.28052);(0.695187,-1.48547);(-0.640254,1.54276);
19:09:48.109, 	1, 	1, 	20.0703, 	14.0376, 	0, 	28, 	0, 	(-0.579148,-0.654524);(-0.180737,1.15333);(0.958698,-1.51855);(-0.888068,1.59145);
19:09:48.160, 	1, 	1, 	20.0782, 	17.4754, 	0, 	24, 	0, 	(-0.541092,0.0713451);(0.803632,0.607911);(-0.69622,-1.62976);(0.784974,1.61577);
19:09:48.210, 	1, 	1, 	20.3956, 	14.2431, 	0, 	20, 	0, 	(-1.01255,0.443746);(1.21633,0.337215);(-0.884785,-0.67317);(0.907005,0.6903);
19:09:48.260, 	1, 	1, 	20.3337, 	14.4935, 	0, 	16, 	0, 	(-0.162702,-0.618686);(-0.557084,0.916821);(1.55763,-0.947919);(-1.54355,1.01579);
19:09:48.360, 	1, 	1, 	19.4348, 	13.8188, 	0, 	12, 	0, 	(-0.710413,0.297415);(1.02471,0.483438);(-1.15812,-1.4442);(1.23311,1.40584);
19:09:48.410, 	1, 	1, 	20.7541, 	16.3414, 	0, 	8, 	0, 	(-0.420498,0.309887);(0.792231,0.276128);(-1.23913,-1.20766);(1.30239,1.12255);
19:09:48.510, 	1, 	1, 	19.5028, 	14.2836, 	0, 	8, 	0, 	(-0.509441,-0.0468797);(0.639334,0.754729);(-0.319156,-1.74012);(0.392395,1.75286);
19:09:48.561, 	1, 	1, 	20.0995, 	13.4189, 	0, 	8, 	0, 	(0.723292,0.919614);(0.120108,-1.21091);(-0.457888,0.940219);(0.429004,-0.968274);
19:09:48.611, 	1, 	1, 	19.3762, 	15.2075, 	0, 	8, 	0, 	(0.526799,-0.682727);(-1.08542,-0.0453863);(1.68329,0.772116);(-1.71727,-0.673468);
19:09:48.660, 	1, 	1, 	21.7344, 	13.9946, 	0, 	8, 	0, 	(-0.515469,-0.906379);(-0.136109,1.17717);(0.411684,-0.802589);(-0.465038,0.833175);
19:09:48.733, 	1, 	2, 	15.7441, 	21.5922, 	1, 	8, 	0.304, 	(-0.0955886,-0.585381);
19:09:48.834, 	1, 	2, 	17.2805, 	22.9812, 	1, 	8, 	0.608, 	(0.103557,-0.637937);
19:09:48.934, 	0, 	2, 	19.8625, 	14.388, 	1, 	8, 	0.608, 	(-0.0772483,-0.088345);
19:09:49.034, 	1, 	2, 	18.9151, 	25.0091, 	1, 	8, 	0.912, 	(0.562125,-0.317201);
19:09:49.134, 	1, 	2, 	18.8838, 	24.5028, 	1, 	8, 	1.216, 	(-0.69914,0.028328);
19:09:49.342, 	1, 	2, 	19.6162, 	25.7897, 	1, 	8, 	1.52, 	(-0.538834,0.0205002);
19:09:49.434, 	0, 	2, 	15.5036, 	13.7256, 	1, 	8, 	1.52, 	(0.00971072,0.0781016);
19:09:49.534, 	0, 	2, 	19.7783, 	14.363, 	0, 	12, 	1.52, 	(0.0439113,0.114798);
19:09:49.634, 	1, 	2, 	20.8781, 	25.5049, 	1, 	16, 	1.824, 	(-0.513815,0.443894);
19:09:49.935, 	1, 	2, 	20.6676, 	25.0292, 	1, 	12, 	2.128, 	(-0.0412359,0.593502);
19:09:50.035, 	1, 	2, 	20.8542, 	25.12, 	1, 	12, 	2.128, 	(-0.467715,0.287378);
19:09:50.135, 	1, 	2, 	19.6454, 	24.5246, 	1, 	12, 	2.128, 	(-0.616969,-0.339881);
19:09:50.235, 	0, 	2, 	16.7969, 	13.4298, 	1, 	12, 	2.128, 	(0.066076,0.0489178);
19:09:50.335, 	1, 	2, 	17.2743, 	22.1508, 	1, 	16, 	2.128, 	(-0.636431,-0.0849319);
19:09:50.435, 	1, 	2, 	21.4792, 	14.3838, 	1, 	16, 	2.128, 	(-0.104493,0.0231444);
19:09:50.535, 	0, 	2, 	20.2875, 	14.6505, 	1, 	16, 	2.128, 	(-0.0518159,-0.0990153);
19:09:50.635, 	0, 	2, 	20.0544, 	15.2947, 	0, 	20, 	1.824, 	(0.00359509,-0.111964);
19:09:50.736, 	1, 	2, 	20.4193, 	24.3799, 	1, 	24, 	2.128, 	(0.566416,-0.0472005);
19:09:50.835, 	1, 	2, 	19.715, 	26.3353, 	1, 	24, 	2.128, 	(0.151352,0.507981);
19:09:50.936, 	1, 	2, 	20.5166, 	25.9608, 	1, 	24, 	2.128, 	(0.32961,0.623771);
19:09:51.116, 	1, 	1, 	20.8708, 	14.4353, 	0, 	24, 	1.824, 	(0.387198,-1.00746);(-1.19748,0.558884);(1.6355,-0.0712828);(-1.67179,0.10929);
19:09:51.166, 	1, 	1, 	20.902, 	13.9931, 	0, 	24, 	1.52, 	(1.01714,0.4688);(-0.553401,-1.12789);(0.0650642,1.17061);(-0.0738346,-1.21594);
19:09:51.217, 	1, 	1, 	20.3292, 	13.7329, 	0, 	24, 	1.52, 	(-0.027837,-0.665916);(-0.75717,0.596653);(1.74993,-0.412342);(-1.72804,0.518402);
19:09:51.266, 	1, 	1, 	20.5987, 	13.6785, 	0, 	24, 	1.216, 	(0.0456507,1.14084);(0.753759,-0.934606);(-0.90593,0.514679);(0.914993,-0.544691);
19:09:51.317, 	1, 	1, 	20.9373, 	13.8166, 	0, 	24, 	0.912, 	(-0.478069,-1.04465);(-0.453027,1.17802);(0.928512,-1.02731);(-0.881867,1.07856);
19:09:51.367, 	1, 	1, 	19.8647, 	14.7581, 	0, 	24, 	0.912, 	(0.629396,-0.82199);(-1.25896,0.142731);(1.6041,0.485616);(-1.64747,-0.427651);
19:09:51.417, 	1, 	1, 	20.2331, 	14.9831, 	0, 	24, 	0.912, 	(-0.230989,1.17979);(1.04572,-0.667471);(-1.24687,0.252033);(1.23471,-0.311647);
19:09:51.467, 	1, 	1, 	20.2141, 	13.4466, 	0, 	20, 	0.608, 	(-0.388805,-0.219764);(0.279926,0.913704);(0.426272,-1.70045);(-0.357267,1.73779);
19:09:51.622, 	1, 	1, 	19.3115, 	15.9185, 	0, 	20, 	0.304, 	(0.297084,-0.902542);(-0.782323,0.543205);(0.525328,-0.138133);(-0.538307,0.139621);
19:09:51.668, 	1, 	1, 	19.7835, 	14.5819, 	0, 	20, 	-7.10543e-17, 	(-0.621365,0.283174);(0.99899,0.374545);(-1.1973,-1.3308);(1.27236,1.28564);
19:09:51.768, 	1, 	1, 	20.9702, 	15.9591, 	0, 	20, 	-7.10543e-17, 	(0.635017,-0.919787);(-1.2382,0.374978);(1.25644,0.144829);(-1.31243,-0.147874);
19:09:51.818, 	1, 	1, 	19.0595, 	13.5809, 	0, 	16, 	-7.10543e-17, 	(-0.172694,0.579946);(0.861361,-0.271695);(-1.76189,-0.217387);(1.77344,0.132166);
19:09:51.868, 	1, 	1, 	20.7334, 	15.8406, 	0, 	12, 	-7.10543e-17, 	(-0.859017,0.456295);(1.0651,0.44527);(-1.23052,-1.25758);(1.29079,1.22302);
19:09:51.918, 	0, 	1, 	20.979, 	13.9922, 	0, 	12, 	-7.10543e-17, 	(-0.118783,1.12281);(0.985041,-0.854754);(-1.43969,0.45353);(1.44843,-0.496715);
19:09:51.968, 	1, 	1, 	20.5549, 	12.4599, 	0, 	16, 	-7.10543e-17, 	(0.762317,0.68113);(0.00239928,-1.23476);(-0.670009,1.59126);(0.595511,-1.63187);
19:09:52.018, 	1, 	1, 	19.8273, 	14.0497, 	0, 	16, 	-7.10543e-17, 	(0.635535,0.322817);(-0.328702,-1.04625);(-0.307474,1.7833);(0.224309,-1.823);
