19:10:10.152, 	191.076, 	22.6908, 	3.45675, 	-58.382
19:10:10.252, 	120.371, 	23.131, 	3.45675, 	-58.382
19:10:10.352, 	95.8094, 	24.1346, 	3.60704, 	-58.382
19:10:10.453, 	85.3613, 	21.4136, 	3.60704, 	-60.1334
19:10:10.552, 	214.176, 	25.3768, 	3.60704, 	-60.1334
19:10:10.653, 	53.7794, 	20.9639, 	3.45675, 	-61.9835
19:10:10.753, 	420.765, 	27.044, 	3.45675, 	-58.382
19:10:10.854, 	56.4451, 	18.6398, 	3.45675, 	-58.382
19:10:10.954, 	290.495, 	26.1211, 	3.60704, 	-58.382
19:10:11.053, 	59.0603, 	18.603, 	3.45675, 	-58.382
19:10:11.153, 	99.7031, 	21.952, 	3.45675, 	-58.382
19:10:11.253, 	141.994, 	22.2862, 	3.60704, 	-58.382
19:10:11.353, 	230.76, 	26.4551, 	3.45675, 	-61.9835
19:10:11.453, 	234.278, 	29.7119, 	3.45675, 	-60.1334
19:10:11.554, 	150.237, 	23.2405, 	3.60704, 	-60.1334
19:10:11.653, 	153.693, 	24.0322, 	3.60704, 	-58.382
19:10:11.754, 	126.571, 	24.4925, 	3.45675, 	-60.1334
19:10:11.854, 	219.4, 	24.2809, 	3.45675, 	-58.382
19:10:11.954, 	119.984, 	22.5936, 	3.60704, 	-58.382
19:10:12.054, 	214.15, 	25.5416, 	3.45675, 	-60.1334
19:10:12.111, 	169.399, 	22.4435, 	3.45675, 	-60.1334
19:10:12.154, 	1235.83, 	31.1114, 	0, 	-44.0521
19:10:12.262, 	169.66, 	23.3802, 	3.45675, 	-58.382
19:10:12.312, 	71.7231, 	20.0881, 	3.45675, 	-61.9835
19:10:12.412, 	213.091, 	26.3801, 	3.45675, 	-58.382
19:10:12.462, 	169.826, 	26.379, 	3.60704, 	-60.1334
19:10:12.562, 	204.716, 	26.0393, 	3.45675, 	-58.382
19:10:12.612, 	179.301, 	24.4966, 	3.45675, 	-56.7136
19:10:12.662, 	181.242, 	24.4818, 	3.45675, 	-56.7136
19:10:12.712, 	234.354, 	24.4094, 	3.60704, 	-60.1334
19:10:12.763, 	152.481, 	23.8264, 	3.45675, 	-60.1334
19:10:12.813, 	182.075, 	24.4334, 	3.45675, 	-58.382
19:10:12.864, 	168.944, 	22.7902, 	3.45675, 	-58.382
